143400,2012,3543,49,22706624,6409
3225300,2012,131,71,2178494,16630
1194101,2012,109,10,318463,2922
1194100,2012,75,6,186345,2485
2270802,2012,520,87,4472041,8600
2270800,2012,124,76,666859,5378
211500,2012,308,17,1675340,5439
2503400,2012,332,97,2549063,7678
178400,2012,417,78,2787272,6684
178500,2012,1484,73,12178590,8207
341800,2012,1718,70,11543698,6719
154500,2012,247,77,1539248,6232
223800,2012,1145,58,10423013,9103
4160400,2012,128,66,959225,7494
4164400,2012,151,100,1426857,9449
354100,2012,3611,58,25984648,7196
211700,2012,800,79,5542311,6928
205800,2012,2970,17,16566355,5578
735000,2012,1325,55,9847036,7432
233200,2012,3705,40,25522312,6889
111300,2012,2545,18,17155256,6741
301002,2012,126,67,470538,3734
301000,2012,90,63,244015,2711
301003,2012,106,73,1430237,13493
301005,2012,196,80,2182860,11137
1289100,2012,235,88,2395438,10193
1289102,2012,330,90,2647211,8022
1289101,2012,600,96,4742413,7904
743000,2012,157,87,1060195,6753
3067000,2012,102,55,571694,5605
961200,2012,8,47,75632,9454
3513400,2012,480,92,4528126,9434
751800,2012,1672,59,10565003,6319
2562300,2012,79,4,467619,5919
754400,2012,74,28,359533,4859
290600,2012,7086,46,43845567,6188
3068600,2012,184,85,1370380,7448
223900,2012,1315,68,10748306,8174
347700,2012,537,83,4223465,7865
134600,2012,4429,40,19021632,4295
323500,2012,1844,83,12931352,7013
2179902,2012,292,75,2577593,8827
2179936,2012,233,80,1940652,8329
2179919,2012,141,78,1186686,8416
2179930,2012,100,75,905792,9058
2179905,2012,91,65,872821,9591
2179932,2012,256,74,2213348,8646
2179928,2012,128,65,1186165,9267
2179914,2012,113,75,961616,8510
2179900,2012,152,67,1376281,9054
2179935,2012,128,81,1040477,8129
2179929,2012,83,50,781263,9413
2179908,2012,85,69,716870,8434
2179918,2012,102,74,886328,8689
2179921,2012,128,74,1103075,8618
2179913,2012,66,67,654884,9922
2179909,2012,57,59,511922,8981
2179938,2012,1532,86,12262297,8004
2179948,2012,1714,92,14175504,8270
2179941,2012,1821,84,15899361,8731
2179944,2012,1867,84,16509242,8843
2179945,2012,1102,85,9988716,9064
2179947,2012,1517,72,13909916,9169
2179943,2012,1272,79,11013021,8658
2179939,2012,677,88,6380159,9424
2179901,2012,1071,75,8148104,7608
2179903,2012,63,66,498176,7908
972300,2012,189,83,1501928,7947
886400,2012,55,59,295241,5368
1180200,2012,52,49,299802,5765
1084700,2012,1454,73,13483727,9274
711300,2012,348,58,2291153,6584
3115000,2012,614,89,5825448,9488
4120900,2012,110,44,833024,7573
108100,2012,30988,53,224248783,7237
107100,2012,501,6,1945909,3884
108700,2012,1018,85,4448460,4370
3997300,2012,38,58,146058,3844
3005100,2012,72,99,322596,4481
3023400,2012,102,64,710233,6963
109100,2012,784,17,3981699,5079
109000,2012,5345,53,40793036,7632
109003,2012,567,39,3668355,6470
109002,2012,288,14,1319344,4581
108900,2012,4484,46,29622002,6606
2081400,2012,137,61,1032857,7539
2521200,2012,202,65,1437028,7114
3159300,2012,113,100,939256,8312
154600,2012,3868,57,24043236,6216
2257400,2012,27,25,172238,6379
643500,2012,55,79,399733,7268
301100,2012,178,77,1193010,6702
111600,2012,893,54,6488767,7266
2363500,2012,60,74,302106,5035
2538500,2012,59,72,383637,6502
2538502,2012,71,70,431611,6079
2525900,2012,131,34,758144,5787
3816301,2012,210,62,1665015,7929
3816300,2012,181,45,1476694,8159
3095500,2012,3691,74,22549803,6109
195200,2012,999,69,8419512,8428
4057300,2012,241,51,988109,4100
403300,2012,1206,15,4693763,3892
188100,2012,52187,78,406392998,7787
199000,2012,1518,31,8182802,5391
3117000,2012,57,53,221805,3891
301200,2012,1919,63,14028722,7310
2187900,2012,95,44,552733,5818
3012300,2012,132,67,344862,2613
1115000,2012,102,6,551508,5407
4080300,2012,56,42,443331,7917
2169900,2012,38,83,326000,8579
902200,2012,420,44,2325300,5536
2553500,2012,285,98,828477,2907
211800,2012,1649,72,11705453,7099
4152700,2012,60,51,178023,2967
4038303,2012,94,82,687607,7315
4038300,2012,424,84,4485845,10580
4178700,2012,147,62,644244,4383
100800,2012,2127,63,11682020,5492
3740400,2012,172,85,1145307,6659
4160200,2012,27,7,154228,5712
3104500,2012,280,75,1750000,6250
1216500,2012,1057,38,4889819,4626
2580200,2012,190,51,1475270,7765
854300,2012,737,16,4205303,5706
2234600,2012,124,50,709916,5725
259600,2012,2057,27,6290202,3058
3429600,2012,15,88,187500,12500
2505400,2012,223,16,270030,1211
3468500,2012,307,93,2930378,9545
3051400,2012,23,4,152025,6610
100900,2012,7594,37,51987351,6846
831000,2012,2479,56,18149204,7321
233400,2012,2149,71,17918169,8338
4021300,2012,109,81,506499,4647
559900,2012,778,18,4006745,5150
163300,2012,1685,67,11397878,6764
345800,2012,1257,69,10024550,7975
3727600,2012,207,66,1698252,8204
3776300,2012,109,45,926845,8503
648700,2012,241,79,1841531,7641
163400,2012,1978,71,14545274,7354
354300,2012,995,75,7198488,7235
1201500,2012,11490,25,68743709,5983
2362800,2012,18,58,94250,5236
347800,2012,6032,60,42360321,7023
737200,2012,553,85,1722782,3115
2297702,2012,40,17,76525,1913
2297700,2012,134,19,283508,2116
2297701,2012,69,23,141086,2045
2297705,2012,93,37,132075,1420
1162100,2012,413,76,3505783,8489
1162101,2012,409,74,2990119,7311
2258600,2012,179,74,1119928,6257
1085802,2012,137,66,932863,6809
1085800,2012,353,75,2960089,8386
1085801,2012,312,76,2413653,7736
2519800,2012,96,91,345633,3600
4171700,2012,72,94,857123,11904
3941300,2012,429,58,2884436,6724
3837300,2012,108,48,827036,7658
4155900,2012,100,60,745401,7454
2258400,2012,90,57,759035,8434
4176700,2012,59,61,462196,7834
4140700,2012,246,64,1961708,7974
4141000,2012,91,65,419549,4610
4137800,2012,350,82,2771702,7919
2600900,2012,665,85,4655763,7001
4167100,2012,500,82,3843034,7686
4203300,2012,141,51,1106054,7844
2117800,2012,90,92,495425,5505
3837301,2012,143,59,1109011,7755
2123200,2012,442,50,3480871,7875
4174500,2012,108,62,769582,7126
3839300,2012,212,68,1506959,7108
4171400,2012,318,66,2576145,8101
4072300,2012,154,88,769067,4994
4142300,2012,467,97,2777123,5947
4119400,2012,737,56,5238363,7108
4134800,2012,324,60,2287553,7060
987300,2012,33,51,152016,4607
4160700,2012,210,54,1679478,7998
492900,2012,16,80,113144,7072
4038400,2012,33,73,215610,6534
3523300,2012,518,92,6385684,12328
3126300,2012,324,84,3577143,11041
3573300,2012,346,88,3923982,11341
4146700,2012,221,90,2408100,10896
3176300,2012,191,91,2337364,12238
3616300,2012,151,91,1989916,13178
3883400,2012,179,82,2143051,11972
4156400,2012,175,90,2163126,12361
3110700,2012,293,94,3509781,11979
3986300,2012,9,9,18466,2052
244900,2012,896,74,7279138,8124
3160300,2012,58,5,468644,8080
826300,2012,251,75,968591,3859
462100,2012,415,99,1353096,3260
212100,2012,777,39,5439568,7001
314700,2012,1021,92,7813337,7653
1107400,2012,2425,65,10673233,4401
467300,2012,4802,75,32440794,6756
467313,2012,3575,68,26348690,7370
467317,2012,2998,75,20360145,6791
467305,2012,2451,65,17441157,7116
467301,2012,1251,67,8712486,6964
467302,2012,4014,70,26625289,6633
467309,2012,2101,76,14760976,7026
467303,2012,3642,73,24339862,6683
467304,2012,2355,73,16053808,6817
467306,2012,1047,71,6864272,6556
190300,2012,1699,79,14442795,8501
111800,2012,774,4,2956729,3820
301400,2012,2518,72,18450910,7328
178600,2012,10629,60,71274848,6706
3296300,2012,570,55,3319440,5824
3296301,2012,263,95,1393900,5300
2494700,2012,99,90,423000,4273
2337400,2012,15,17,71504,4767
1320800,2012,318,76,1885966,5931
3105200,2012,627,74,4372184,6973
660600,2012,434,84,1668844,3845
3440300,2012,790,82,6719795,8506
2331200,2012,11,16,49586,4508
3733300,2012,43,20,206682,4807
3010700,2012,46,36,260378,5660
191700,2012,174,75,1189753,6838
267100,2012,929,47,5863627,6312
964500,2012,220,64,1369750,6226
270800,2012,832,34,4362065,5243
638900,2012,459,81,2213741,4823
4164900,2012,45,68,371386,8253
2518900,2012,7,7,21263,3038
146600,2012,3357,71,31820246,9479
290800,2012,896,76,6831639,7625
460800,2012,709,14,4406351,6215
2242500,2012,148,64,1822868,12317
203600,2012,489,28,2644881,5409
530600,2012,418,10,1730258,4139
3730300,2012,2559,31,11983332,4683
2335701,2012,50,54,355680,7114
2197500,2012,45,62,362839,8063
1157400,2012,409,56,3161971,7731
224000,2012,919,34,3286930,3577
212200,2012,1390,88,9515767,6846
396500,2012,1064,87,9540545,8967
2338200,2012,148,40,1028190,6947
354500,2012,6471,51,44561609,6886
3373300,2012,71,46,511250,7201
520400,2012,546,69,2157096,3951
2154400,2012,114,53,780510,6847
855800,2012,389,20,2953760,7593
3999300,2012,107,58,809218,7563
2504900,2012,64,56,444906,6952
4170300,2012,90,59,390355,4337
739100,2012,59,44,404277,6852
