OPEID,InstitutionName,PublicPrivate
3030800,American Broadcasting School-Oklahoma City,private
NULL,American Broadcasting School-Online Program,NULL
NULL,American Business and Technology University,NULL
2241801,American Career College-Anaheim,private
NULL,American Career College-Long Beach,NULL
2241800,American Career College-Los Angeles,private
3359300,American Career College-Lynwood,private
3971300,American Career College-Ontario,private
NULL,American College for Medical Careers,NULL
3153300,American College of Acupuncture and Oriental Med,NULL
NULL,American College of Barbering,NULL
2309100,American College of Hair Design Inc,private
765800,American College of Hairstyling-Des Moines,private
3144400,American College of Healthcare,private
NULL,American College of Healthcare,NULL
NULL,American College of Healthcare Sciences,NULL
3078200,American College of Traditional Chinese Medicine,NULL
2099200,American Conservatory Theater,NULL
2303800,American Educational College,private
2222000,American Film Institute Conservatory,NULL
2289000,American Hair Academy,private
NULL,American Health Institute,NULL
2199900,American Indian College Inc,private
2514100,American Indian OIC Inc,private
3534400,American Institute of Alternative Medicine,private
4016500,American Institute of Beauty,private
NULL,American Institute of Interior Design,NULL
3962300,American Institute of Massage Therapy,private
NULL,American Institute of Medical Sciences & Education,private
4060300,American Institute of Medical Technology,private
NULL,American Institute of Pharmaceutical Technology - Polifly,NULL
2317800,American Institute of Technology,private
2106601,American Institute-Clifton,private
3706300,American Institute-Margate,private
NULL,American Institute-Toms River,NULL
2106600,American Institute-West Hartford,private
2113600,American InterContinental University-Atlanta,private
2113610,American InterContinental University-Houston,private
021136A1  ,American InterContinental University-Online,private
211400,American International College,private
274100,American Jewish University,private
NULL,American Medical Academy,NULL
NULL,American Medical Sciences Center,NULL
757200,American Musical and Dramatic Academy,private
372600,American National University,private
NULL,American National University-Canton,NULL
-2,American National University-Cincinnati,private
NULL,American National University-Columbus,NULL
-2,American National University-Dayton,private
1048900,American National University-Lexington,private
NULL,American National University-Stow,NULL
NULL,American National University-Willoughby Hills,NULL
-2,American National University-Youngstown,private
3819300,American Public University System,private
123200,American River College,public
1001000,American Samoa Community College,public
2601000,American School of Business,private
2311200,American School of Technology,private
NULL,American Sentinel University,NULL
NULL,American Technical Institute,NULL
NULL,American Trade School,NULL
143400,American University,private
3225300,American University of Health Sciences,private
1194101,American University of Puerto Rico,private
1194100,American University of Puerto Rico,private
2270802,AmeriTech College-Draper,private
2270800,AmeriTech College-Provo,private
NULL,AMG School of Licensed Practical Nursing,NULL
211500,Amherst College,private
2503400,Amridge University,private
182300,Anabaptist Mennonite Biblical Seminary,NULL
178400,Ancilla College,private
178500,Anderson University,private
341800,Anderson University,private
211600,Andover Newton Theological School,NULL
154500,Andrew College,private
223800,Andrews University,private
NULL,Angeles College,NULL
NULL,Angeles Institute,NULL
666100,Angelina College,public
354100,Angelo State University,public
211700,Anna Maria College,private
205800,Anne Arundel Community College,public
NULL,Annenberg School of Nursing,NULL
735000,Anoka Technical College,public
233200,Anoka-Ramsey Community College,public
111300,Antelope Valley College,public
2234900,Antilles School of Technical Careers,private
NULL,Antioch College,NULL
301002,Antioch University-Los Angeles,NULL
301000,Antioch University-Midwest,NULL
301004,Antioch University-New England,NULL
301003,Antioch University-Santa Barbara,NULL
301005,Antioch University-Seattle,private
003010A1  ,Antioch University-System Administration,NULL
1289100,Antonelli College-Cincinnati,private
1289102,Antonelli College-Hattiesburg,private
1289101,Antonelli College-Jackson,private
743000,Antonelli Institute,private
3067000,Antonelli Medical and Professional Institute,private
3156400,AOMA Graduate School of Integrative Medicine,NULL
NULL,Aparicio-Levy Technical College,NULL
961200,Apex Academy of Hair Design Inc,private
3513400,Apex School of Theology,private
751800,Apex Technical School,private
2562300,Apollo Career Center,private
2159100,Appalachian Beauty School,private
754400,Appalachian Bible College,private
-2,Appalachian College of Pharmacy,NULL
3559300,Appalachian School of Law,NULL
290600,Appalachian State University,public
3068600,Applied Technology Services,private
223900,Aquinas College,private
347700,Aquinas College,private
163200,Aquinas Institute of Theology,NULL
134600,Arapahoe Community College,public
323500,Arcadia University,private
2179902,Argosy University-Atlanta,NULL
2179900,Argosy University-Chicago,private
2179919,Argosy University-Dallas,NULL
021799A2  ,Argosy University-Denver,NULL
2179905,Argosy University-Hawaii,private
2179932,Argosy University-Inland Empire,NULL
2179928,Argosy University-Los Angeles,private
2179914,Argosy University-Nashville,NULL
2179916,Argosy University-Orange County,NULL
2179907,Argosy University-Phoenix,NULL
NULL,Argosy University-Phoenix Online Division,NULL
2179935,Argosy University-Salt Lake City,private
2179929,Argosy University-San Diego,NULL
2179908,Argosy University-San Francisco Bay Area,NULL
2179918,Argosy University-Sarasota,NULL
2179921,Argosy University-Schaumburg,NULL
2179913,Argosy University-Seattle,private
2179909,Argosy University-Tampa,private
3125400,Argosy University-The Art Institute of California-Hollywood,private
1647100,Argosy University-The Art Institute of California-Inland Empire,private
723600,Argosy University-The Art Institute of California-Los Angeles,private
723603,Argosy University-The Art Institute of California-Orange County,private
007236A3  ,Argosy University-The Art Institute of California-Sacramento,private
2327600,Argosy University-The Art Institute of California-San Diego,private
723602,Argosy University-The Art Institute of California-San Francisco,private
3125401,Argosy University-The Art Institute of California-Silicon Valley,private
2179901,Argosy University-Twin Cities,private
2179903,Argosy University-Washington DC,NULL
972300,Aria Health School of Nursing,private
886400,Arizona Academy of Beauty-East,private
1180200,Arizona Academy of Beauty-North,private
1084700,Arizona Automotive Institute,private
001083A1  ,Arizona Board of Regents,NULL
711300,Arizona Christian University,private
NULL,Arizona College - Las Vegas,NULL
3115000,Arizona College-Glendale,private
NULL,Arizona College-Mesa,NULL
4120900,Arizona Culinary Institute,private
3695500,Arizona School of Acupuncture and Oriental Medicine,NULL
NULL,Arizona School of Integrative Studies,NULL
001081A1  ,Arizona State University-Downtown Phoenix,NULL
108102,Arizona State University-Polytechnic,NULL
NULL,Arizona State University-Skysong,NULL
108100,Arizona State University-Tempe,public
108101,Arizona State University-West,NULL
4131400,Arizona Summit Law School,NULL
107100,Arizona Western College,public
108700,Arkansas Baptist College,private
3997300,Arkansas Beauty College,private
3005100,Arkansas Beauty School-Little Rock,private
3023400,Arkansas College of Barbering and Hair Design,private
1286000,Arkansas Northeastern College,public
2348200,Arkansas State University Mid-South,public
109100,Arkansas State University-Beebe,public
109000,Arkansas State University-Main Campus,public
109003,Arkansas State University-Mountain Home,public
109002,Arkansas State University-Newport,public
001090A1  ,Arkansas State University-System Office,NULL
108900,Arkansas Tech University,public
2081400,Arlington Baptist College,private
2521200,Arlington Career Institute,private
3159300,Arlington Medical Institute,private
154600,Armstrong State University,public
2257400,Arnolds Beauty School,private
643500,Arnot Ogden Medical Center,private
NULL,Arrojo Cosmetology School,NULL
301100,Art Academy of Cincinnati,private
111600,Art Center College of Design,private
2363500,Arthur's Beauty College Inc-Fort Smith,private
2538500,Arthur's Beauty College Inc-Jacksonville,private
2538502,Arthur's Beauty School Inc-Conway,private
2525900,Artistic Academy of Hair Design,private
NULL,Artistic Nails and Beauty Academy-Lakeland,NULL
3816300,Artistic Nails and Beauty Academy-Tampa,private
3095500,ASA College,private
195300,Asbury Theological Seminary,NULL
195200,Asbury University,private
4057300,Asher College,private
403300,Asheville-Buncombe Technical Community College,public
188100,Ashford University,private
199000,Ashland Community and Technical College,public
3117000,Ashland County-West Holmes Career Center,private
301200,Ashland University,private
2187900,Ashtabula County Technical and Career Campus,private
NULL,ASI Career Institute,NULL
2595600,Asian American International Beauty College,private
3012300,ASM Beauty World Academy,private
1115000,Asnuntuck Community College,public
NULL,Aspen Beauty Academy of Laurel,NULL
NULL,Aspen University,private
NULL,Assabet Valley Regional Technical School,NULL
1212000,Assemblies of God Theological Seminary,NULL
NULL,Associated Barber College of San Diego,NULL
2506000,Associated Beth Rivkah Schools,private
902200,Associated Technical College-Los Angeles,private
2553500,Associated Technical College-San Diego,private
211800,Assumption College,private
-2,Astrodome Career Centers,NULL
3906300,ATA Career Education,private
4038300,ATA College,private
NULL,Atelier Esthetique Institute of Esthetics,NULL
3544300,Atenas College,private
