OPEID,DisbursementYear,IncomeBracket,AvgNetPrice
223700,2010,"30,001 to 48,000",878
2290400,2010,"30,001 to 48,000",9300
323300,2010,"30,001 to 48,000",22166
383200,2010,"30,001 to 48,000",12863
353900,2010,"30,001 to 48,000",3564
3414500,2010,"30,001 to 48,000",NULL
354000,2010,"30,001 to 48,000",5244
NULL,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",26904
1081300,2010,"30,001 to 48,000",14782
3833300,2010,"30,001 to 48,000",NULL
162800,2010,"30,001 to 48,000",21122
NULL,2010,"30,001 to 48,000",13344
NULL,2010,"30,001 to 48,000",NULL
2106900,2010,"30,001 to 48,000",25702
746500,2010,"30,001 to 48,000",28057
NULL,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",NULL
3491400,2010,"30,001 to 48,000",22140
1046000,2010,"30,001 to 48,000",12794
112000,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",15821
1307400,2010,"30,001 to 48,000",9168
3903400,2010,"30,001 to 48,000",10602
3030802,2010,"30,001 to 48,000",22060
3030800,2010,"30,001 to 48,000",21600
NULL,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",14560
2241801,2010,"30,001 to 48,000",42616
NULL,2010,"30,001 to 48,000",NULL
2241800,2010,"30,001 to 48,000",18837
3359300,2010,"30,001 to 48,000",35552
3971300,2010,"30,001 to 48,000",19863
NULL,2010,"30,001 to 48,000",NULL
3153300,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",NULL
2309100,2010,"30,001 to 48,000",20928
765800,2010,"30,001 to 48,000",NULL
3144400,2010,"30,001 to 48,000",18550
NULL,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",NULL
3078200,2010,"30,001 to 48,000",NULL
2099200,2010,"30,001 to 48,000",NULL
2303800,2010,"30,001 to 48,000",5996
2222000,2010,"30,001 to 48,000",NULL
2289000,2010,"30,001 to 48,000",25214
NULL,2010,"30,001 to 48,000",NULL
2199900,2010,"30,001 to 48,000",13461
2514100,2010,"30,001 to 48,000",NULL
3534400,2010,"30,001 to 48,000",34340
4016500,2010,"30,001 to 48,000",19716
NULL,2010,"30,001 to 48,000",NULL
3962300,2010,"30,001 to 48,000",10440
4136400,2010,"30,001 to 48,000",35880
4060300,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",NULL
2317800,2010,"30,001 to 48,000",8472
2106601,2010,"30,001 to 48,000",20240
3706300,2010,"30,001 to 48,000",29064
NULL,2010,"30,001 to 48,000",NULL
2106600,2010,"30,001 to 48,000",24464
2113600,2010,"30,001 to 48,000",15561
2113610,2010,"30,001 to 48,000",18653
021136A1  ,2010,"30,001 to 48,000",19094
211400,2010,"30,001 to 48,000",17740
274100,2010,"30,001 to 48,000",32869
NULL,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",NULL
757200,2010,"30,001 to 48,000",30413
372600,2010,"30,001 to 48,000",15436
NULL,2010,"30,001 to 48,000",NULL
-2,2010,"30,001 to 48,000",17352
372601,2010,"30,001 to 48,000",13277
-2,2010,"30,001 to 48,000",15362
1048900,2010,"30,001 to 48,000",16324
NULL,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",NULL
-2,2010,"30,001 to 48,000",13153
3819300,2010,"30,001 to 48,000",10408
123200,2010,"30,001 to 48,000",10717
1001000,2010,"30,001 to 48,000",200
2601000,2010,"30,001 to 48,000",13080
2311200,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",NULL
143400,2010,"30,001 to 48,000",21562
3225300,2010,"30,001 to 48,000",32508
1194101,2010,"30,001 to 48,000",9686
1194100,2010,"30,001 to 48,000",9158
2270802,2010,"30,001 to 48,000",25162
2270800,2010,"30,001 to 48,000",21788
NULL,2010,"30,001 to 48,000",NULL
211500,2010,"30,001 to 48,000",1883
2503400,2010,"30,001 to 48,000",NULL
182300,2010,"30,001 to 48,000",NULL
178400,2010,"30,001 to 48,000",11538
178500,2010,"30,001 to 48,000",18956
341800,2010,"30,001 to 48,000",13710
211600,2010,"30,001 to 48,000",NULL
154500,2010,"30,001 to 48,000",14090
223800,2010,"30,001 to 48,000",16179
NULL,2010,"30,001 to 48,000",25968
NULL,2010,"30,001 to 48,000",NULL
666100,2010,"30,001 to 48,000",5416
354100,2010,"30,001 to 48,000",10051
211700,2010,"30,001 to 48,000",17740
205800,2010,"30,001 to 48,000",12169
NULL,2010,"30,001 to 48,000",NULL
735000,2010,"30,001 to 48,000",12833
233200,2010,"30,001 to 48,000",10589
111300,2010,"30,001 to 48,000",NULL
2234900,2010,"30,001 to 48,000",12705
NULL,2010,"30,001 to 48,000",NULL
301002,2010,"30,001 to 48,000",NULL
301000,2010,"30,001 to 48,000",NULL
301004,2010,"30,001 to 48,000",NULL
301003,2010,"30,001 to 48,000",NULL
301005,2010,"30,001 to 48,000",23839
003010A1  ,2010,"30,001 to 48,000",NULL
1289100,2010,"30,001 to 48,000",18780
1289102,2010,"30,001 to 48,000",19369
1289101,2010,"30,001 to 48,000",21832
743000,2010,"30,001 to 48,000",32874
3067000,2010,"30,001 to 48,000",19926
3156400,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",NULL
961200,2010,"30,001 to 48,000",NULL
3513400,2010,"30,001 to 48,000",NULL
751800,2010,"30,001 to 48,000",18630
2562300,2010,"30,001 to 48,000",11030
2159100,2010,"30,001 to 48,000",NULL
754400,2010,"30,001 to 48,000",11927
-2,2010,"30,001 to 48,000",NULL
3559300,2010,"30,001 to 48,000",NULL
290600,2010,"30,001 to 48,000",5986
3068600,2010,"30,001 to 48,000",NULL
223900,2010,"30,001 to 48,000",11157
347700,2010,"30,001 to 48,000",21150
163200,2010,"30,001 to 48,000",NULL
134600,2010,"30,001 to 48,000",8428
323500,2010,"30,001 to 48,000",21155
2179902,2010,"30,001 to 48,000",29559
2179900,2010,"30,001 to 48,000",NULL
2179919,2010,"30,001 to 48,000",30821
021799A2  ,2010,"30,001 to 48,000",NULL
2179905,2010,"30,001 to 48,000",31807
2179932,2010,"30,001 to 48,000",NULL
2179928,2010,"30,001 to 48,000",31501
2179914,2010,"30,001 to 48,000",NULL
2179916,2010,"30,001 to 48,000",32476
2179907,2010,"30,001 to 48,000",NULL
2179907,2010,"30,001 to 48,000",27035
2179935,2010,"30,001 to 48,000",29691
2179929,2010,"30,001 to 48,000",NULL
2179908,2010,"30,001 to 48,000",25208
2179918,2010,"30,001 to 48,000",NULL
2179921,2010,"30,001 to 48,000",27909
2179913,2010,"30,001 to 48,000",NULL
2179909,2010,"30,001 to 48,000",26234
3125400,2010,"30,001 to 48,000",32266
1647100,2010,"30,001 to 48,000",26232
723600,2010,"30,001 to 48,000",25916
723603,2010,"30,001 to 48,000",23435
007236A3  ,2010,"30,001 to 48,000",19368
2327600,2010,"30,001 to 48,000",17947
723602,2010,"30,001 to 48,000",24269
3125401,2010,"30,001 to 48,000",23345
2179901,2010,"30,001 to 48,000",20933
2179903,2010,"30,001 to 48,000",22523
972300,2010,"30,001 to 48,000",15357
886400,2010,"30,001 to 48,000",22212
1180200,2010,"30,001 to 48,000",15132
1084700,2010,"30,001 to 48,000",34970
001083A1  ,2010,"30,001 to 48,000",NULL
711300,2010,"30,001 to 48,000",14075
NULL,2010,"30,001 to 48,000",NULL
3115000,2010,"30,001 to 48,000",20631
NULL,2010,"30,001 to 48,000",NULL
4120900,2010,"30,001 to 48,000",34678
3695500,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",NULL
108100,2010,"30,001 to 48,000",5705
NULL,2010,"30,001 to 48,000",NULL
4131400,2010,"30,001 to 48,000",NULL
107100,2010,"30,001 to 48,000",8505
108700,2010,"30,001 to 48,000",16664
3997300,2010,"30,001 to 48,000",14760
3005100,2010,"30,001 to 48,000",NULL
3023400,2010,"30,001 to 48,000",23460
1286000,2010,"30,001 to 48,000",11531
2348200,2010,"30,001 to 48,000",4283
109100,2010,"30,001 to 48,000",4638
109000,2010,"30,001 to 48,000",10563
109003,2010,"30,001 to 48,000",13920
109002,2010,"30,001 to 48,000",5434
001090A1  ,2010,"30,001 to 48,000",NULL
108900,2010,"30,001 to 48,000",6553
2081400,2010,"30,001 to 48,000",15849
2521200,2010,"30,001 to 48,000",20808
3159300,2010,"30,001 to 48,000",18099
154600,2010,"30,001 to 48,000",11444
2257400,2010,"30,001 to 48,000",23556
643500,2010,"30,001 to 48,000",45324
NULL,2010,"30,001 to 48,000",NULL
301100,2010,"30,001 to 48,000",15408
111600,2010,"30,001 to 48,000",36441
2363500,2010,"30,001 to 48,000",17796
2538500,2010,"30,001 to 48,000",17208
2538502,2010,"30,001 to 48,000",17196
2525900,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",NULL
3816300,2010,"30,001 to 48,000",20532
3095500,2010,"30,001 to 48,000",20168
195300,2010,"30,001 to 48,000",NULL
195200,2010,"30,001 to 48,000",17640
4057300,2010,"30,001 to 48,000",19674
403300,2010,"30,001 to 48,000",8002
188100,2010,"30,001 to 48,000",20462
199000,2010,"30,001 to 48,000",4549
3117000,2010,"30,001 to 48,000",14060
301200,2010,"30,001 to 48,000",17418
2187900,2010,"30,001 to 48,000",19176
NULL,2010,"30,001 to 48,000",NULL
2595600,2010,"30,001 to 48,000",NULL
3012300,2010,"30,001 to 48,000",NULL
1115000,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",NULL
4080300,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",20670
1212000,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",NULL
2506000,2010,"30,001 to 48,000",11179
902200,2010,"30,001 to 48,000",15984
2553500,2010,"30,001 to 48,000",16681
211800,2010,"30,001 to 48,000",31235
4152700,2010,"30,001 to 48,000",NULL
3906300,2010,"30,001 to 48,000",22332
4038300,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",NULL
3544300,2010,"30,001 to 48,000",5235
NULL,2010,"30,001 to 48,000",NULL
100800,2010,"30,001 to 48,000",NULL
560000,2010,"30,001 to 48,000",5530
3740400,2010,"30,001 to 48,000",32970
NULL,2010,"30,001 to 48,000",14268
3104500,2010,"30,001 to 48,000",36156
1216500,2010,"30,001 to 48,000",8024
2580200,2010,"30,001 to 48,000",31216
854300,2010,"30,001 to 48,000",5215
3173300,2010,"30,001 to 48,000",NULL
2234600,2010,"30,001 to 48,000",NULL
259600,2010,"30,001 to 48,000",10078
3429600,2010,"30,001 to 48,000",NULL
1226300,2010,"30,001 to 48,000",11712
2505400,2010,"30,001 to 48,000",5787
NULL,2010,"30,001 to 48,000",NULL
3468500,2010,"30,001 to 48,000",28751
3051400,2010,"30,001 to 48,000",NULL
100900,2010,"30,001 to 48,000",12102
831000,2010,"30,001 to 48,000",10186
233400,2010,"30,001 to 48,000",27928
4021300,2010,"30,001 to 48,000",NULL
559900,2010,"30,001 to 48,000",4392
NULL,2010,"30,001 to 48,000",NULL
163300,2010,"30,001 to 48,000",18437
345800,2010,"30,001 to 48,000",13874
3727600,2010,"30,001 to 48,000",NULL
3776300,2010,"30,001 to 48,000",32676
648700,2010,"30,001 to 48,000",16030
163400,2010,"30,001 to 48,000",12021
354300,2010,"30,001 to 48,000",12630
1201500,2010,"30,001 to 48,000",7005
2362800,2010,"30,001 to 48,000",NULL
NULL,2010,"30,001 to 48,000",NULL
347800,2010,"30,001 to 48,000",9669
354400,2010,"30,001 to 48,000",NULL
737200,2010,"30,001 to 48,000",14016
2297702,2010,"30,001 to 48,000",6539
2297700,2010,"30,001 to 48,000",6021
2297701,2010,"30,001 to 48,000",5883
