OPEID,DisbursementYear,IncomeBracket,AvgNetPrice
4149500,2011,"75,001 to 110,000",NULL
247700,2011,"75,001 to 110,000",NULL
2517500,2011,"75,001 to 110,000",NULL
3064900,2011,"75,001 to 110,000",13307
4168800,2011,"75,001 to 110,000",NULL
3065100,2011,"75,001 to 110,000",NULL
NULL,2011,"75,001 to 110,000",NULL
NULL,2011,"75,001 to 110,000",NULL
3783400,2011,"75,001 to 110,000",NULL
353700,2011,"75,001 to 110,000",25295
154100,2011,"75,001 to 110,000",11215
3122500,2011,"75,001 to 110,000",NULL
2050300,2011,"75,001 to 110,000",NULL
4104300,2011,"75,001 to 110,000",17850
NULL,2011,"75,001 to 110,000",NULL
4083300,2011,"75,001 to 110,000",NULL
4133500,2011,"75,001 to 110,000",NULL
4155500,2011,"75,001 to 110,000",NULL
3346300,2011,"75,001 to 110,000",19762
NULL,2011,"75,001 to 110,000",NULL
NULL,2011,"75,001 to 110,000",NULL
753100,2011,"75,001 to 110,000",33086
4126900,2011,"75,001 to 110,000",NULL
1290500,2011,"75,001 to 110,000",NULL
3288300,2011,"75,001 to 110,000",NULL
2499000,2011,"75,001 to 110,000",19115
4118600,2011,"75,001 to 110,000",10540
2621300,2011,"75,001 to 110,000",NULL
4156000,2011,"75,001 to 110,000",24619
NULL,2011,"75,001 to 110,000",NULL
4132400,2011,"75,001 to 110,000",NULL
3277300,2011,"75,001 to 110,000",NULL
2244300,2011,"75,001 to 110,000",NULL
2244303,2011,"75,001 to 110,000",NULL
3276301,2011,"75,001 to 110,000",NULL
1323200,2011,"75,001 to 110,000",NULL
3276300,2011,"75,001 to 110,000",NULL
4144400,2011,"75,001 to 110,000",13787
2235900,2011,"75,001 to 110,000",NULL
1050700,2011,"75,001 to 110,000",12946
4037500,2011,"75,001 to 110,000",NULL
2552400,2011,"75,001 to 110,000",NULL
NULL,2011,"75,001 to 110,000",NULL
NULL,2011,"75,001 to 110,000",NULL
4130700,2011,"75,001 to 110,000",NULL
4093300,2011,"75,001 to 110,000",NULL
3113400,2011,"75,001 to 110,000",NULL
NULL,2011,"75,001 to 110,000",NULL
1074100,2011,"75,001 to 110,000",18942
NULL,2011,"75,001 to 110,000",NULL
3353300,2011,"75,001 to 110,000",NULL
NULL,2011,"75,001 to 110,000",NULL
NULL,2011,"75,001 to 110,000",NULL
NULL,2011,"75,001 to 110,000",NULL
4043300,2011,"75,001 to 110,000",NULL
NULL,2011,"75,001 to 110,000",NULL
3327400,2011,"75,001 to 110,000",NULL
134500,2011,"75,001 to 110,000",14561
266600,2011,"75,001 to 110,000",27245
3103700,2011,"75,001 to 110,000",NULL
286000,2011,"75,001 to 110,000",8029
3051900,2011,"75,001 to 110,000",NULL
2068100,2011,"75,001 to 110,000",NULL
223400,2011,"75,001 to 110,000",21241
2520400,2011,"75,001 to 110,000",12548
812900,2011,"75,001 to 110,000",NULL
2312000,2011,"75,001 to 110,000",10832
3736300,2011,"75,001 to 110,000",NULL
NULL,2011,"75,001 to 110,000",NULL
3757300,2011,"75,001 to 110,000",NULL
3412300,2011,"75,001 to 110,000",NULL
4155800,2011,"75,001 to 110,000",NULL
NULL,2011,"75,001 to 110,000",NULL
3786300,2011,"75,001 to 110,000",NULL
NULL,2011,"75,001 to 110,000",11150
NULL,2011,"75,001 to 110,000",NULL
1148400,2011,"75,001 to 110,000",15395
2293600,2011,"75,001 to 110,000",NULL
3127500,2011,"75,001 to 110,000",23456
3532400,2011,"75,001 to 110,000",NULL
NULL,2011,"75,001 to 110,000",NULL
4146900,2011,"75,001 to 110,000",22469
3115500,2011,"75,001 to 110,000",19754
