OPEID,DisbursementYear,IncomeBracket,AvgNetPrice
4149500,2012,"48,001 to 75,000",NULL
247700,2012,"48,001 to 75,000",NULL
2517500,2012,"48,001 to 75,000",14069
3064900,2012,"48,001 to 75,000",12873
4168800,2012,"48,001 to 75,000",NULL
3065100,2012,"48,001 to 75,000",NULL
NULL,2012,"48,001 to 75,000",NULL
4183300,2012,"48,001 to 75,000",NULL
3783400,2012,"48,001 to 75,000",21251
353700,2012,"48,001 to 75,000",23138
154100,2012,"48,001 to 75,000",9511
3122500,2012,"48,001 to 75,000",NULL
2050300,2012,"48,001 to 75,000",28304
4104300,2012,"48,001 to 75,000",12823
NULL,2012,"48,001 to 75,000",NULL
4083300,2012,"48,001 to 75,000",NULL
4133500,2012,"48,001 to 75,000",NULL
4155500,2012,"48,001 to 75,000",NULL
3346300,2012,"48,001 to 75,000",NULL
4189800,2012,"48,001 to 75,000",NULL
4185700,2012,"48,001 to 75,000",17645
753100,2012,"48,001 to 75,000",32804
4126900,2012,"48,001 to 75,000",NULL
1290500,2012,"48,001 to 75,000",11803
3288300,2012,"48,001 to 75,000",NULL
2499000,2012,"48,001 to 75,000",19650
4118600,2012,"48,001 to 75,000",12592
2621300,2012,"48,001 to 75,000",12051
4156000,2012,"48,001 to 75,000",22279
NULL,2012,"48,001 to 75,000",NULL
4132400,2012,"48,001 to 75,000",15042
3277300,2012,"48,001 to 75,000",NULL
2244300,2012,"48,001 to 75,000",NULL
2244303,2012,"48,001 to 75,000",NULL
3276301,2012,"48,001 to 75,000",NULL
1323200,2012,"48,001 to 75,000",NULL
3276300,2012,"48,001 to 75,000",NULL
4144400,2012,"48,001 to 75,000",12309
2235900,2012,"48,001 to 75,000",NULL
1050700,2012,"48,001 to 75,000",12409
4037500,2012,"48,001 to 75,000",NULL
2552400,2012,"48,001 to 75,000",17763
NULL,2012,"48,001 to 75,000",NULL
NULL,2012,"48,001 to 75,000",NULL
4130700,2012,"48,001 to 75,000",NULL
4093300,2012,"48,001 to 75,000",23725
3113400,2012,"48,001 to 75,000",12145
NULL,2012,"48,001 to 75,000",NULL
1074100,2012,"48,001 to 75,000",15407
NULL,2012,"48,001 to 75,000",NULL
3353300,2012,"48,001 to 75,000",NULL
4165500,2012,"48,001 to 75,000",NULL
NULL,2012,"48,001 to 75,000",NULL
NULL,2012,"48,001 to 75,000",NULL
4043300,2012,"48,001 to 75,000",NULL
NULL,2012,"48,001 to 75,000",NULL
3327400,2012,"48,001 to 75,000",NULL
134500,2012,"48,001 to 75,000",11767
266600,2012,"48,001 to 75,000",26098
3103700,2012,"48,001 to 75,000",NULL
286000,2012,"48,001 to 75,000",8336
3051900,2012,"48,001 to 75,000",NULL
2068100,2012,"48,001 to 75,000",NULL
223400,2012,"48,001 to 75,000",17500
2520400,2012,"48,001 to 75,000",13457
812900,2012,"48,001 to 75,000",NULL
2312000,2012,"48,001 to 75,000",14906
3736300,2012,"48,001 to 75,000",NULL
NULL,2012,"48,001 to 75,000",NULL
3757300,2012,"48,001 to 75,000",NULL
3412300,2012,"48,001 to 75,000",NULL
4155800,2012,"48,001 to 75,000",NULL
NULL,2012,"48,001 to 75,000",NULL
3786300,2012,"48,001 to 75,000",NULL
4179200,2012,"48,001 to 75,000",8801
NULL,2012,"48,001 to 75,000",NULL
1148401,2012,"48,001 to 75,000",15736
2293600,2012,"48,001 to 75,000",NULL
3127500,2012,"48,001 to 75,000",23003
3532400,2012,"48,001 to 75,000",12962
4171000,2012,"48,001 to 75,000",NULL
4146900,2012,"48,001 to 75,000",19885
3115500,2012,"48,001 to 75,000",20318
2553000,2012,"48,001 to 75,000",35497
4157100,2012,"48,001 to 75,000",89010
NULL,2012,"48,001 to 75,000",NULL
3097200,2012,"48,001 to 75,000",NULL
154200,2012,"48,001 to 75,000",18149
887800,2012,"48,001 to 75,000",27254
