OPEID,DisbursementYear,IncomeBracket,AvgNetPrice
4149500,2011,"48,001 to 75,000",NULL
247700,2011,"48,001 to 75,000",NULL
2517500,2011,"48,001 to 75,000",NULL
3064900,2011,"48,001 to 75,000",11057
4168800,2011,"48,001 to 75,000",NULL
3065100,2011,"48,001 to 75,000",NULL
NULL,2011,"48,001 to 75,000",NULL
NULL,2011,"48,001 to 75,000",NULL
3783400,2011,"48,001 to 75,000",19365
353700,2011,"48,001 to 75,000",22771
154100,2011,"48,001 to 75,000",9745
3122500,2011,"48,001 to 75,000",NULL
2050300,2011,"48,001 to 75,000",NULL
4104300,2011,"48,001 to 75,000",16990
NULL,2011,"48,001 to 75,000",NULL
4083300,2011,"48,001 to 75,000",NULL
4133500,2011,"48,001 to 75,000",NULL
4155500,2011,"48,001 to 75,000",NULL
3346300,2011,"48,001 to 75,000",17487
NULL,2011,"48,001 to 75,000",NULL
NULL,2011,"48,001 to 75,000",NULL
753100,2011,"48,001 to 75,000",31948
4126900,2011,"48,001 to 75,000",NULL
1290500,2011,"48,001 to 75,000",NULL
3288300,2011,"48,001 to 75,000",NULL
2499000,2011,"48,001 to 75,000",18782
4118600,2011,"48,001 to 75,000",5926
2621300,2011,"48,001 to 75,000",12108
4156000,2011,"48,001 to 75,000",23769
NULL,2011,"48,001 to 75,000",NULL
4132400,2011,"48,001 to 75,000",7869
3277300,2011,"48,001 to 75,000",NULL
2244300,2011,"48,001 to 75,000",NULL
2244303,2011,"48,001 to 75,000",NULL
3276301,2011,"48,001 to 75,000",NULL
1323200,2011,"48,001 to 75,000",13032
3276300,2011,"48,001 to 75,000",NULL
4144400,2011,"48,001 to 75,000",12902
2235900,2011,"48,001 to 75,000",NULL
1050700,2011,"48,001 to 75,000",12946
4037500,2011,"48,001 to 75,000",NULL
2552400,2011,"48,001 to 75,000",16241
NULL,2011,"48,001 to 75,000",NULL
NULL,2011,"48,001 to 75,000",NULL
4130700,2011,"48,001 to 75,000",NULL
4093300,2011,"48,001 to 75,000",25728
3113400,2011,"48,001 to 75,000",NULL
NULL,2011,"48,001 to 75,000",NULL
1074100,2011,"48,001 to 75,000",12458
NULL,2011,"48,001 to 75,000",NULL
3353300,2011,"48,001 to 75,000",NULL
NULL,2011,"48,001 to 75,000",NULL
NULL,2011,"48,001 to 75,000",NULL
NULL,2011,"48,001 to 75,000",NULL
4043300,2011,"48,001 to 75,000",NULL
NULL,2011,"48,001 to 75,000",NULL
3327400,2011,"48,001 to 75,000",NULL
134500,2011,"48,001 to 75,000",11867
266600,2011,"48,001 to 75,000",27006
3103700,2011,"48,001 to 75,000",13668
286000,2011,"48,001 to 75,000",7097
3051900,2011,"48,001 to 75,000",NULL
2068100,2011,"48,001 to 75,000",NULL
223400,2011,"48,001 to 75,000",16191
2520400,2011,"48,001 to 75,000",12409
812900,2011,"48,001 to 75,000",17921
2312000,2011,"48,001 to 75,000",10897
3736300,2011,"48,001 to 75,000",NULL
NULL,2011,"48,001 to 75,000",NULL
3757300,2011,"48,001 to 75,000",NULL
3412300,2011,"48,001 to 75,000",NULL
