OPEID,DisbursementYear,IncomeBracket,AvgNetPrice
NULL,2010,"48,001 to 75,000",NULL
247700,2010,"48,001 to 75,000",NULL
2517500,2010,"48,001 to 75,000",1057
3064900,2010,"48,001 to 75,000",NULL
NULL,2010,"48,001 to 75,000",NULL
3065100,2010,"48,001 to 75,000",14244
NULL,2010,"48,001 to 75,000",NULL
NULL,2010,"48,001 to 75,000",NULL
3783400,2010,"48,001 to 75,000",20664
353700,2010,"48,001 to 75,000",22080
154100,2010,"48,001 to 75,000",8979
3122500,2010,"48,001 to 75,000",NULL
2050300,2010,"48,001 to 75,000",NULL
4104300,2010,"48,001 to 75,000",19728
NULL,2010,"48,001 to 75,000",NULL
NULL,2010,"48,001 to 75,000",NULL
4133500,2010,"48,001 to 75,000",NULL
NULL,2010,"48,001 to 75,000",NULL
3346300,2010,"48,001 to 75,000",30105
NULL,2010,"48,001 to 75,000",NULL
NULL,2010,"48,001 to 75,000",NULL
753100,2010,"48,001 to 75,000",31985
4126900,2010,"48,001 to 75,000",NULL
1290500,2010,"48,001 to 75,000",NULL
3288300,2010,"48,001 to 75,000",NULL
2499000,2010,"48,001 to 75,000",27864
4118600,2010,"48,001 to 75,000",21996
2621300,2010,"48,001 to 75,000",15765
NULL,2010,"48,001 to 75,000",26808
NULL,2010,"48,001 to 75,000",NULL
4132400,2010,"48,001 to 75,000",18200
3277300,2010,"48,001 to 75,000",NULL
2244300,2010,"48,001 to 75,000",NULL
2244303,2010,"48,001 to 75,000",NULL
3276301,2010,"48,001 to 75,000",NULL
1323200,2010,"48,001 to 75,000",NULL
3276300,2010,"48,001 to 75,000",NULL
4144400,2010,"48,001 to 75,000",23229
2235900,2010,"48,001 to 75,000",NULL
1050700,2010,"48,001 to 75,000",25815
4037500,2010,"48,001 to 75,000",NULL
2552400,2010,"48,001 to 75,000",NULL
NULL,2010,"48,001 to 75,000",NULL
NULL,2010,"48,001 to 75,000",NULL
4130700,2010,"48,001 to 75,000",NULL
4093300,2010,"48,001 to 75,000",28272
3113400,2010,"48,001 to 75,000",19848
NULL,2010,"48,001 to 75,000",NULL
1074100,2010,"48,001 to 75,000",22848
NULL,2010,"48,001 to 75,000",NULL
3353300,2010,"48,001 to 75,000",NULL
NULL,2010,"48,001 to 75,000",NULL
NULL,2010,"48,001 to 75,000",NULL
NULL,2010,"48,001 to 75,000",NULL
4043300,2010,"48,001 to 75,000",NULL
NULL,2010,"48,001 to 75,000",NULL
3327400,2010,"48,001 to 75,000",NULL
134500,2010,"48,001 to 75,000",11647
266600,2010,"48,001 to 75,000",24614
