OPEID,DisbursementYear,IncomeBracket,AvgNetPrice
4149500,2012,"Over 110,000",NULL
247700,2012,"Over 110,000",NULL
2517500,2012,"Over 110,000",NULL
3064900,2012,"Over 110,000",NULL
4168800,2012,"Over 110,000",NULL
3065100,2012,"Over 110,000",NULL
NULL,2012,"Over 110,000",NULL
4183300,2012,"Over 110,000",NULL
3783400,2012,"Over 110,000",23134
353700,2012,"Over 110,000",28861
154100,2012,"Over 110,000",11182
3122500,2012,"Over 110,000",NULL
2050300,2012,"Over 110,000",NULL
4104300,2012,"Over 110,000",NULL
NULL,2012,"Over 110,000",NULL
4083300,2012,"Over 110,000",NULL
4133500,2012,"Over 110,000",NULL
4155500,2012,"Over 110,000",NULL
3346300,2012,"Over 110,000",NULL
4189800,2012,"Over 110,000",19506
4185700,2012,"Over 110,000",NULL
753100,2012,"Over 110,000",34652
4126900,2012,"Over 110,000",NULL
1290500,2012,"Over 110,000",NULL
3288300,2012,"Over 110,000",NULL
2499000,2012,"Over 110,000",NULL
4118600,2012,"Over 110,000",13559
2621300,2012,"Over 110,000",NULL
4156000,2012,"Over 110,000",24110
NULL,2012,"Over 110,000",NULL
4132400,2012,"Over 110,000",17542
3277300,2012,"Over 110,000",NULL
2244300,2012,"Over 110,000",NULL
2244303,2012,"Over 110,000",NULL
3276301,2012,"Over 110,000",NULL
1323200,2012,"Over 110,000",NULL
3276300,2012,"Over 110,000",NULL
4144400,2012,"Over 110,000",NULL
2235900,2012,"Over 110,000",NULL
1050700,2012,"Over 110,000",NULL
4037500,2012,"Over 110,000",NULL
2552400,2012,"Over 110,000",NULL
NULL,2012,"Over 110,000",NULL
NULL,2012,"Over 110,000",NULL
4130700,2012,"Over 110,000",NULL
4093300,2012,"Over 110,000",22975
3113400,2012,"Over 110,000",NULL
NULL,2012,"Over 110,000",NULL
1074100,2012,"Over 110,000",NULL
NULL,2012,"Over 110,000",NULL
3353300,2012,"Over 110,000",NULL
4165500,2012,"Over 110,000",NULL
NULL,2012,"Over 110,000",NULL
NULL,2012,"Over 110,000",NULL
4043300,2012,"Over 110,000",NULL
NULL,2012,"Over 110,000",NULL
3327400,2012,"Over 110,000",NULL
134500,2012,"Over 110,000",15269
266600,2012,"Over 110,000",27463
3103700,2012,"Over 110,000",NULL
286000,2012,"Over 110,000",10109
3051900,2012,"Over 110,000",NULL
2068100,2012,"Over 110,000",NULL
223400,2012,"Over 110,000",27087
2520400,2012,"Over 110,000",NULL
812900,2012,"Over 110,000",NULL
2312000,2012,"Over 110,000",NULL
3736300,2012,"Over 110,000",NULL
NULL,2012,"Over 110,000",NULL
3757300,2012,"Over 110,000",NULL
3412300,2012,"Over 110,000",NULL
4155800,2012,"Over 110,000",NULL
NULL,2012,"Over 110,000",NULL
3786300,2012,"Over 110,000",NULL
4179200,2012,"Over 110,000",NULL
NULL,2012,"Over 110,000",NULL
1148401,2012,"Over 110,000",17130
2293600,2012,"Over 110,000",NULL
3127500,2012,"Over 110,000",23741
3532400,2012,"Over 110,000",NULL
4171000,2012,"Over 110,000",NULL
4146900,2012,"Over 110,000",NULL
3115500,2012,"Over 110,000",18243
2553000,2012,"Over 110,000",36392
4157100,2012,"Over 110,000",NULL
NULL,2012,"Over 110,000",NULL
3097200,2012,"Over 110,000",NULL
154200,2012,"Over 110,000",26112
887800,2012,"Over 110,000",28785
396300,2012,"Over 110,000",17068
4158100,2012,"Over 110,000",NULL
1005600,2012,"Over 110,000",NULL
