OPEID,DisbursementYear,IncomeBracket,AvgNetPrice
4149500,2011,"30,001 to 48,000",NULL
247700,2011,"30,001 to 48,000",NULL
2517500,2011,"30,001 to 48,000",NULL
3064900,2011,"30,001 to 48,000",10407
4168800,2011,"30,001 to 48,000",NULL
3065100,2011,"30,001 to 48,000",NULL
NULL,2011,"30,001 to 48,000",NULL
NULL,2011,"30,001 to 48,000",NULL
3783400,2011,"30,001 to 48,000",20298
353700,2011,"30,001 to 48,000",21921
154100,2011,"30,001 to 48,000",7065
3122500,2011,"30,001 to 48,000",8429
2050300,2011,"30,001 to 48,000",17556
4104300,2011,"30,001 to 48,000",14415
NULL,2011,"30,001 to 48,000",NULL
4083300,2011,"30,001 to 48,000",NULL
4133500,2011,"30,001 to 48,000",NULL
4155500,2011,"30,001 to 48,000",NULL
3346300,2011,"30,001 to 48,000",15479
NULL,2011,"30,001 to 48,000",NULL
NULL,2011,"30,001 to 48,000",NULL
753100,2011,"30,001 to 48,000",29307
4126900,2011,"30,001 to 48,000",NULL
1290500,2011,"30,001 to 48,000",9786
3288300,2011,"30,001 to 48,000",NULL
2499000,2011,"30,001 to 48,000",14782
4118600,2011,"30,001 to 48,000",7864
2621300,2011,"30,001 to 48,000",10233
4156000,2011,"30,001 to 48,000",20033
NULL,2011,"30,001 to 48,000",NULL
4132400,2011,"30,001 to 48,000",7085
3277300,2011,"30,001 to 48,000",NULL
2244300,2011,"30,001 to 48,000",NULL
2244303,2011,"30,001 to 48,000",NULL
3276301,2011,"30,001 to 48,000",NULL
1323200,2011,"30,001 to 48,000",NULL
3276300,2011,"30,001 to 48,000",NULL
4144400,2011,"30,001 to 48,000",9995
2235900,2011,"30,001 to 48,000",NULL
1050700,2011,"30,001 to 48,000",NULL
4037500,2011,"30,001 to 48,000",NULL
2552400,2011,"30,001 to 48,000",13991
NULL,2011,"30,001 to 48,000",NULL
NULL,2011,"30,001 to 48,000",NULL
4130700,2011,"30,001 to 48,000",NULL
4093300,2011,"30,001 to 48,000",24335
3113400,2011,"30,001 to 48,000",12977
NULL,2011,"30,001 to 48,000",NULL
1074100,2011,"30,001 to 48,000",15535
NULL,2011,"30,001 to 48,000",NULL
3353300,2011,"30,001 to 48,000",NULL
NULL,2011,"30,001 to 48,000",NULL
NULL,2011,"30,001 to 48,000",NULL
NULL,2011,"30,001 to 48,000",NULL
4043300,2011,"30,001 to 48,000",NULL
NULL,2011,"30,001 to 48,000",NULL
3327400,2011,"30,001 to 48,000",NULL
134500,2011,"30,001 to 48,000",9650
266600,2011,"30,001 to 48,000",22037
3103700,2011,"30,001 to 48,000",NULL
286000,2011,"30,001 to 48,000",4345
3051900,2011,"30,001 to 48,000",NULL
2068100,2011,"30,001 to 48,000",NULL
223400,2011,"30,001 to 48,000",13249
2520400,2011,"30,001 to 48,000",12222
812900,2011,"30,001 to 48,000",17641
2312000,2011,"30,001 to 48,000",13725
3736300,2011,"30,001 to 48,000",NULL
NULL,2011,"30,001 to 48,000",NULL
3757300,2011,"30,001 to 48,000",NULL
3412300,2011,"30,001 to 48,000",NULL
4155800,2011,"30,001 to 48,000",5634
NULL,2011,"30,001 to 48,000",NULL
3786300,2011,"30,001 to 48,000",17617
NULL,2011,"30,001 to 48,000",8390
NULL,2011,"30,001 to 48,000",NULL
1148400,2011,"30,001 to 48,000",12062
2293600,2011,"30,001 to 48,000",NULL
3127500,2011,"30,001 to 48,000",19382
3532400,2011,"30,001 to 48,000",10940
NULL,2011,"30,001 to 48,000",NULL
4146900,2011,"30,001 to 48,000",19107
3115500,2011,"30,001 to 48,000",16019
2553000,2011,"30,001 to 48,000",32877
4157100,2011,"30,001 to 48,000",NULL
NULL,2011,"30,001 to 48,000",NULL
3097200,2011,"30,001 to 48,000",20360
154200,2011,"30,001 to 48,000",14259
887800,2011,"30,001 to 48,000",26870
396300,2011,"30,001 to 48,000",7123
4158100,2011,"30,001 to 48,000",13466
1005600,2011,"30,001 to 48,000",6143
3066700,2011,"30,001 to 48,000",16758
758200,2011,"30,001 to 48,000",8251
962105,2011,"30,001 to 48,000",15828
819400,2011,"30,001 to 48,000",13672
100200,2011,"30,001 to 48,000",9486
NULL,2011,"30,001 to 48,000",NULL
103400,2011,"30,001 to 48,000",6300
3032500,2011,"30,001 to 48,000",NULL
100500,2011,"30,001 to 48,000",6673
546300,2011,"30,001 to 48,000",8595
NULL,2011,"30,001 to 48,000",NULL
360700,2011,"30,001 to 48,000",NULL
884300,2011,"30,001 to 48,000",NULL
2541000,2011,"30,001 to 48,000",20001
4138600,2011,"30,001 to 48,000",7444
106100,2011,"30,001 to 48,000",28335
2170200,2011,"30,001 to 48,000",14728
288500,2011,"30,001 to 48,000",24394
288600,2011,"30,001 to 48,000",NULL
288700,2011,"30,001 to 48,000",NULL
154400,2011,"30,001 to 48,000",9239
560100,2011,"30,001 to 48,000",10615
982200,2011,"30,001 to 48,000",NULL
137400,2011,"30,001 to 48,000",18289
223500,2011,"30,001 to 48,000",14687
322900,2011,"30,001 to 48,000",24929
239600,2011,"30,001 to 48,000",9795
380600,2011,"30,001 to 48,000",12482
NULL,2011,"30,001 to 48,000",NULL
NULL,2011,"30,001 to 48,000",NULL
3538300,2011,"30,001 to 48,000",17739
554400,2011,"30,001 to 48,000",13077
266800,2011,"30,001 to 48,000",16756
2282300,2011,"30,001 to 48,000",5992
195100,2011,"30,001 to 48,000",10871
NULL,2011,"30,001 to 48,000",NULL
4174200,2011,"30,001 to 48,000",NULL
NULL,2011,"30,001 to 48,000",NULL
NULL,2011,"30,001 to 48,000",17910
2495500,2011,"30,001 to 48,000",14337
3072400,2011,"30,001 to 48,000",NULL
3493300,2011,"30,001 to 48,000",14438
111100,2011,"30,001 to 48,000",NULL
205700,2011,"30,001 to 48,000",7136
323000,2011,"30,001 to 48,000",15319
3457300,2011,"30,001 to 48,000",5662
3069100,2011,"30,001 to 48,000",NULL
190100,2011,"30,001 to 48,000",3839
3358301,2011,"30,001 to 48,000",26995
3358300,2011,"30,001 to 48,000",25319
NULL,2011,"30,001 to 48,000",NULL
341700,2011,"30,001 to 48,000",12995
NULL,2011,"30,001 to 48,000",NULL
1111700,2011,"30,001 to 48,000",NULL
NULL,2011,"30,001 to 48,000",NULL
NULL,2011,"30,001 to 48,000",6047
223600,2011,"30,001 to 48,000",15624
223700,2011,"30,001 to 48,000",1933
2290400,2011,"30,001 to 48,000",7448
323300,2011,"30,001 to 48,000",23180
383200,2011,"30,001 to 48,000",10408
353900,2011,"30,001 to 48,000",5368
3414500,2011,"30,001 to 48,000",29786
354000,2011,"30,001 to 48,000",3106
NULL,2011,"30,001 to 48,000",NULL
4124700,2011,"30,001 to 48,000",18435
1081300,2011,"30,001 to 48,000",16937
3833300,2011,"30,001 to 48,000",NULL
162800,2011,"30,001 to 48,000",24433
4151500,2011,"30,001 to 48,000",14801
NULL,2011,"30,001 to 48,000",NULL
2106900,2011,"30,001 to 48,000",33526
746500,2011,"30,001 to 48,000",30607
NULL,2011,"30,001 to 48,000",NULL
NULL,2011,"30,001 to 48,000",NULL
3491400,2011,"30,001 to 48,000",NULL
1046000,2011,"30,001 to 48,000",17963
112000,2011,"30,001 to 48,000",NULL
4169900,2011,"30,001 to 48,000",5664
1307400,2011,"30,001 to 48,000",10451
3903400,2011,"30,001 to 48,000",10686
3030802,2011,"30,001 to 48,000",11526
3030800,2011,"30,001 to 48,000",11080
NULL,2011,"30,001 to 48,000",8584
4118700,2011,"30,001 to 48,000",NULL
2241801,2011,"30,001 to 48,000",25050
NULL,2011,"30,001 to 48,000",NULL
2241800,2011,"30,001 to 48,000",22434
3359300,2011,"30,001 to 48,000",24598
3971300,2011,"30,001 to 48,000",23888
NULL,2011,"30,001 to 48,000",NULL
3153300,2011,"30,001 to 48,000",NULL
NULL,2011,"30,001 to 48,000",NULL
2309100,2011,"30,001 to 48,000",8716
765800,2011,"30,001 to 48,000",NULL
3144400,2011,"30,001 to 48,000",9872
NULL,2011,"30,001 to 48,000",NULL
NULL,2011,"30,001 to 48,000",NULL
3078200,2011,"30,001 to 48,000",NULL
2099200,2011,"30,001 to 48,000",NULL
2303800,2011,"30,001 to 48,000",6674
2222000,2011,"30,001 to 48,000",NULL
2289000,2011,"30,001 to 48,000",NULL
NULL,2011,"30,001 to 48,000",14794
2199900,2011,"30,001 to 48,000",16477
2514100,2011,"30,001 to 48,000",NULL
3534400,2011,"30,001 to 48,000",23503
4016500,2011,"30,001 to 48,000",10139
4148700,2011,"30,001 to 48,000",17659
3962300,2011,"30,001 to 48,000",10500
4136400,2011,"30,001 to 48,000",16223
4060300,2011,"30,001 to 48,000",NULL
NULL,2011,"30,001 to 48,000",NULL
2317800,2011,"30,001 to 48,000",14479
2106601,2011,"30,001 to 48,000",12673
3706300,2011,"30,001 to 48,000",12843
NULL,2011,"30,001 to 48,000",NULL
2106600,2011,"30,001 to 48,000",10625
2113600,2011,"30,001 to 48,000",19918
2113610,2011,"30,001 to 48,000",24081
021136A1  ,2011,"30,001 to 48,000",20569
211400,2011,"30,001 to 48,000",17877
274100,2011,"30,001 to 48,000",31926
NULL,2011,"30,001 to 48,000",NULL
NULL,2011,"30,001 to 48,000",15376
757200,2011,"30,001 to 48,000",30382
372600,2011,"30,001 to 48,000",15453
NULL,2011,"30,001 to 48,000",NULL
-2,2011,"30,001 to 48,000",13785
372601,2011,"30,001 to 48,000",NULL
-2,2011,"30,001 to 48,000",16851
1048900,2011,"30,001 to 48,000",11399
NULL,2011,"30,001 to 48,000",NULL
NULL,2011,"30,001 to 48,000",NULL
-2,2011,"30,001 to 48,000",12123
3819300,2011,"30,001 to 48,000",9380
123200,2011,"30,001 to 48,000",NULL
1001000,2011,"30,001 to 48,000",-406
2601000,2011,"30,001 to 48,000",11895
2311200,2011,"30,001 to 48,000",NULL
NULL,2011,"30,001 to 48,000",NULL
NULL,2011,"30,001 to 48,000",2640
NULL,2011,"30,001 to 48,000",14675
