OPEID,DisbursementYear,IncomeBracket,AvgNetPrice
NULL,2010,"75,001 to 110,000",NULL
247700,2010,"75,001 to 110,000",NULL
2517500,2010,"75,001 to 110,000",NULL
3064900,2010,"75,001 to 110,000",NULL
NULL,2010,"75,001 to 110,000",NULL
3065100,2010,"75,001 to 110,000",NULL
NULL,2010,"75,001 to 110,000",NULL
NULL,2010,"75,001 to 110,000",NULL
3783400,2010,"75,001 to 110,000",21606
353700,2010,"75,001 to 110,000",22856
154100,2010,"75,001 to 110,000",10638
3122500,2010,"75,001 to 110,000",NULL
2050300,2010,"75,001 to 110,000",31125
4104300,2010,"75,001 to 110,000",19908
NULL,2010,"75,001 to 110,000",NULL
NULL,2010,"75,001 to 110,000",NULL
4133500,2010,"75,001 to 110,000",NULL
NULL,2010,"75,001 to 110,000",NULL
3346300,2010,"75,001 to 110,000",NULL
NULL,2010,"75,001 to 110,000",NULL
NULL,2010,"75,001 to 110,000",NULL
753100,2010,"75,001 to 110,000",33106
4126900,2010,"75,001 to 110,000",NULL
1290500,2010,"75,001 to 110,000",NULL
3288300,2010,"75,001 to 110,000",NULL
2499000,2010,"75,001 to 110,000",29892
4118600,2010,"75,001 to 110,000",NULL
2621300,2010,"75,001 to 110,000",NULL
NULL,2010,"75,001 to 110,000",27512
NULL,2010,"75,001 to 110,000",NULL
4132400,2010,"75,001 to 110,000",NULL
3277300,2010,"75,001 to 110,000",NULL
2244300,2010,"75,001 to 110,000",NULL
2244303,2010,"75,001 to 110,000",NULL
3276301,2010,"75,001 to 110,000",NULL
1323200,2010,"75,001 to 110,000",NULL
3276300,2010,"75,001 to 110,000",NULL
4144400,2010,"75,001 to 110,000",23850
2235900,2010,"75,001 to 110,000",NULL
1050700,2010,"75,001 to 110,000",25815
4037500,2010,"75,001 to 110,000",NULL
2552400,2010,"75,001 to 110,000",NULL
NULL,2010,"75,001 to 110,000",NULL
NULL,2010,"75,001 to 110,000",NULL
4130700,2010,"75,001 to 110,000",NULL
4093300,2010,"75,001 to 110,000",29160
3113400,2010,"75,001 to 110,000",NULL
NULL,2010,"75,001 to 110,000",NULL
1074100,2010,"75,001 to 110,000",NULL
NULL,2010,"75,001 to 110,000",NULL
3353300,2010,"75,001 to 110,000",NULL
NULL,2010,"75,001 to 110,000",NULL
NULL,2010,"75,001 to 110,000",NULL
NULL,2010,"75,001 to 110,000",NULL
4043300,2010,"75,001 to 110,000",NULL
NULL,2010,"75,001 to 110,000",NULL
3327400,2010,"75,001 to 110,000",NULL
134500,2010,"75,001 to 110,000",12908
266600,2010,"75,001 to 110,000",25457
3103700,2010,"75,001 to 110,000",NULL
286000,2010,"75,001 to 110,000",8750
3051900,2010,"75,001 to 110,000",NULL
2068100,2010,"75,001 to 110,000",NULL
223400,2010,"75,001 to 110,000",29383
2520400,2010,"75,001 to 110,000",NULL
812900,2010,"75,001 to 110,000",NULL
2312000,2010,"75,001 to 110,000",NULL
3736300,2010,"75,001 to 110,000",NULL
NULL,2010,"75,001 to 110,000",NULL
3757300,2010,"75,001 to 110,000",NULL
3412300,2010,"75,001 to 110,000",NULL
NULL,2010,"75,001 to 110,000",NULL
NULL,2010,"75,001 to 110,000",NULL
3786300,2010,"75,001 to 110,000",NULL
NULL,2010,"75,001 to 110,000",NULL
NULL,2010,"75,001 to 110,000",NULL
1148400,2010,"75,001 to 110,000",25404
2293600,2010,"75,001 to 110,000",NULL
3127500,2010,"75,001 to 110,000",NULL
3532400,2010,"75,001 to 110,000",NULL
NULL,2010,"75,001 to 110,000",NULL
4146900,2010,"75,001 to 110,000",20694
3115500,2010,"75,001 to 110,000",19481
2553000,2010,"75,001 to 110,000",35473
NULL,2010,"75,001 to 110,000",NULL
NULL,2010,"75,001 to 110,000",NULL
3097200,2010,"75,001 to 110,000",NULL
154200,2010,"75,001 to 110,000",20344
887800,2010,"75,001 to 110,000",29818
396300,2010,"75,001 to 110,000",15032
NULL,2010,"75,001 to 110,000",12456
1005600,2010,"75,001 to 110,000",1225
3066700,2010,"75,001 to 110,000",NULL
758200,2010,"75,001 to 110,000",13595
2069500,2010,"75,001 to 110,000",24196
819400,2010,"75,001 to 110,000",16850
100200,2010,"75,001 to 110,000",12757
NULL,2010,"75,001 to 110,000",NULL
103400,2010,"75,001 to 110,000",NULL
3032500,2010,"75,001 to 110,000",NULL
100500,2010,"75,001 to 110,000",8904
546300,2010,"75,001 to 110,000",NULL
NULL,2010,"75,001 to 110,000",NULL
360700,2010,"75,001 to 110,000",NULL
NULL,2010,"75,001 to 110,000",NULL
2541000,2010,"75,001 to 110,000",13507
4138600,2010,"75,001 to 110,000",NULL
106100,2010,"75,001 to 110,000",24622
2170200,2010,"75,001 to 110,000",22380
288500,2010,"75,001 to 110,000",30573
288600,2010,"75,001 to 110,000",NULL
