4934,2012,455,1819,25,A
25408,2012,47,176,26.7,A
39603,2012,211,767,27.5,A
40894,2012,25,123,20.3,A
41187,2012,14,44,31.8,A
35703,2012,10,35,28.5,B
3222,2012,342,1343,25.4,A
37893,2012,272,1032,26.3,A
3454,2012,157,604,25.9,A
7275,2012,97,322,30.1,A
5707,2012,94,352,26.7,A
3188,2012,680,2448,27.7,A
39035,2012,210,1048,20,A
5619,2012,14,55,25.4,A
9962,2012,23,93,24.7,A
21193,2012,22,80,27.5,A
25593,2012,3633,13982,25.9,P
7738,2012,53,242,21.9,A
3196,2012,1119,4536,24.6,A
26092,2012,319,1597,19.9,A
4838,2012,616,2445,25.1,A
1636,2012,456,1829,24.9,A
10879,2012,106,435,24.3,A
10014,2012,51,213,23.9,A
8083,2012,4,13,30.7,B
24947,2012,24,97,24.7,A
25957,2012,13,47,27.6,B
41200,2012,9,37,24.3,B
25812,2012,13,67,19.4,A
5317,2012,33,174,18.9,P
1232,2012,484,1840,26.3,A
1219,2012,285,1174,24.2,A
12870,2012,381,1338,28.4,A
41477,2012,53,160,33.1,A
25997,2012,923,4848,19,P
2261,2012,922,3707,24.8,A
4062,2012,322,1360,23.6,A
10977,2012,70,245,28.5,A
41485,2012,24,158,15.1,A
3221,2012,301,1192,25.2,A
23522,2012,202,734,27.5,A
20839,2012,35,133,26.3,A
21598,2012,17,72,23.6,B
5601,2012,361,1444,25,A
5754,2012,25,87,28.7,A
1071,2012,141,522,27,A
22183,2012,64,327,19.5,A
41795,2012,1,6,16.6,B
21348,2012,12,54,22.2,A
30226,2012,454,1853,24.5,A
10388,2012,430,1670,25.7,P
2486,2012,152,652,23.3,A
22781,2012,143,596,23.9,A
37143,2012,44,178,24.7,A
22957,2012,31,109,28.4,A
12260,2012,27,96,28.1,A
3816,2012,24,114,21,P
41831,2012,2,13,15.3,B
1077,2012,1174,5105,22.9,A
7118,2012,423,1927,21.9,P
2237,2012,105,488,21.5,A
3786,2012,83,393,21.1,A
26215,2012,108,452,23.8,A
2964,2012,141,431,32.7,A
4972,2012,35,161,21.7,A
41527,2012,14,93,15,A
9581,2012,9,72,12.5,P
