OPEID,DisbursementYear,Average net price (income 0-30 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income 30 001-48 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income 48 001-75 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income 75 001-110 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income over 110 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV)
NULL,2009,NULL,NULL,NULL,NULL,NULL
247700,2009,NULL,NULL,NULL,NULL,NULL
2517500,2009,1532,NULL,NULL,NULL,NULL
3064900,2009,15828,15768,NULL,NULL,NULL
NULL,2009,NULL,NULL,NULL,NULL,NULL
3065100,2009,10356,12228,NULL,NULL,NULL
NULL,2009,NULL,NULL,NULL,NULL,NULL
NULL,2009,NULL,NULL,NULL,NULL,NULL
3783400,2009,20790,20670,21708,NULL,NULL
353700,2009,18544,18439,19465,22181,23914
154100,2009,6181,7024,9471,10465,10497
3122500,2009,10908,11124,NULL,NULL,NULL
2050300,2009,27411,26201,NULL,NULL,NULL
4104300,2009,20952,17724,17580,20520,NULL
NULL,2009,NULL,NULL,NULL,NULL,NULL
NULL,2009,NULL,NULL,NULL,NULL,NULL
4133500,2009,NULL,NULL,NULL,NULL,NULL
NULL,2009,NULL,NULL,NULL,NULL,NULL
3346300,2009,19020,19290,19860,21375,NULL
NULL,2009,NULL,NULL,NULL,NULL,NULL
NULL,2009,NULL,NULL,NULL,NULL,NULL
753100,2009,29224,32072,32211,32267,NULL
4126900,2009,10539,NULL,NULL,NULL,NULL
1290500,2009,5772,8280,NULL,NULL,NULL
3288300,2009,NULL,NULL,NULL,NULL,NULL
2499000,2009,10824,10884,12132,NULL,NULL
4118600,2009,19044,20532,21576,NULL,NULL
2621300,2009,10380,13935,15465,NULL,NULL
NULL,2009,NULL,NULL,NULL,NULL,NULL
NULL,2009,NULL,NULL,NULL,NULL,NULL
NULL,2009,18161,15899,NULL,NULL,NULL
3277300,2009,9672,NULL,NULL,NULL,NULL
2244300,2009,11835,NULL,NULL,NULL,NULL
2244303,2009,10425,NULL,NULL,NULL,NULL
032763A1  ,2009,7692,NULL,NULL,NULL,NULL
1323200,2009,17820,21252,22164,23160,NULL
3276300,2009,9684,NULL,NULL,NULL,NULL
NULL,2009,21555,21960,18612,23562,NULL
2235900,2009,16665,NULL,NULL,NULL,NULL
1050700,2009,22380,NULL,NULL,NULL,NULL
4037500,2009,17328,20712,21588,NULL,NULL
2552400,2009,23556,NULL,NULL,NULL,NULL
NULL,2009,NULL,NULL,NULL,NULL,NULL
NULL,2009,NULL,NULL,NULL,NULL,NULL
4130700,2009,NULL,NULL,NULL,NULL,NULL
4093300,2009,7464,8100,8892,NULL,NULL
3113400,2009,15804,15972,16404,NULL,NULL
NULL,2009,NULL,NULL,NULL,NULL,NULL
1074100,2009,22056,23844,24444,NULL,NULL
NULL,2009,NULL,NULL,NULL,NULL,NULL
3353300,2009,NULL,NULL,NULL,NULL,NULL
NULL,2009,NULL,NULL,NULL,NULL,NULL
NULL,2009,NULL,NULL,NULL,NULL,NULL
NULL,2009,NULL,NULL,NULL,NULL,NULL
4043300,2009,NULL,NULL,NULL,NULL,NULL
NULL,2009,NULL,NULL,NULL,NULL,NULL
3327400,2009,NULL,NULL,NULL,NULL,NULL
134500,2009,7507,8320,10006,12349,12525
266600,2009,18790,19216,23984,24612,25420
3103700,2009,17352,19386,NULL,NULL,NULL
286000,2009,2761,5590,8137,8824,9224
3051900,2009,NULL,NULL,NULL,NULL,NULL
2068100,2009,NULL,NULL,NULL,NULL,NULL
223400,2009,11147,13756,17599,22178,23500
2520400,2009,23832,24060,24720,NULL,NULL
812900,2009,19020,19980,NULL,NULL,NULL
2312000,2009,12420,12420,12460,12520,12850
3736300,2009,14496,14496,NULL,NULL,NULL
NULL,2009,NULL,NULL,NULL,NULL,NULL
3757300,2009,34176,NULL,NULL,NULL,NULL
3412300,2009,16310,20398,NULL,NULL,NULL
NULL,2009,NULL,NULL,NULL,NULL,NULL
NULL,2009,NULL,NULL,NULL,NULL,NULL
3786300,2009,32832,NULL,NULL,NULL,NULL
NULL,2009,NULL,NULL,NULL,NULL,NULL
NULL,2009,NULL,NULL,NULL,NULL,NULL
1148400,2009,22788,22824,NULL,NULL,NULL
2293600,2009,12380,NULL,NULL,NULL,NULL
3127500,2009,13998,15162,NULL,NULL,NULL
