OPEID,DisbursementYear,Average net price (income 0-30 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income 30 001-48 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income 48 001-75 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income 75 001-110 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income over 110 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV)
4149500,2013,NULL,NULL,NULL,NULL,NULL
247700,2013,NULL,NULL,NULL,NULL,NULL
2517500,2013,10517,5024,3359,NULL,NULL
3064900,2013,9157,10361,11777,NULL,NULL
4168800,2013,5377,5933,3533,NULL,NULL
3065100,2013,4923,NULL,NULL,NULL,NULL
NULL,2013,NULL,NULL,NULL,NULL,NULL
4183300,2013,11320,NULL,NULL,NULL,NULL
3783400,2013,21015,22297,22147,23847,23714
353700,2013,20836,21230,22504,25333,27831
154100,2013,7887,8862,10959,12342,12946
3122500,2013,5690,6629,7639,7059,NULL
2050300,2013,21629,NULL,NULL,26704,NULL
4104300,2013,8316,12042,13554,14101,15887
4207200,2013,10099,8702,NULL,14135,NULL
4083300,2013,8006,NULL,NULL,NULL,NULL
4133500,2013,NULL,NULL,NULL,NULL,NULL
4155500,2013,NULL,NULL,NULL,NULL,NULL
3346300,2013,NULL,NULL,NULL,NULL,NULL
4189800,2013,13200,12704,15486,NULL,NULL
4185700,2013,13759,NULL,NULL,NULL,NULL
753100,2013,28224,29403,30610,33121,32730
4126900,2013,6078,6078,NULL,NULL,NULL
1290500,2013,5540,7335,8620,NULL,NULL
3288300,2013,NULL,NULL,NULL,NULL,NULL
2499000,2013,15588,17588,18088,NULL,NULL
4118600,2013,9664,9907,10272,NULL,NULL
2621300,2013,7678,9738,11500,NULL,NULL
4156000,2013,17798,19049,20299,21952,22219
4185500,2013,32826,NULL,NULL,NULL,NULL
4132400,2013,11633,12783,NULL,NULL,NULL
3277300,2013,6506,NULL,NULL,NULL,NULL
2244300,2013,5857,NULL,NULL,NULL,NULL
2244303,2013,6964,NULL,NULL,NULL,NULL
3276301,2013,6196,NULL,NULL,NULL,NULL
1323200,2013,13763,16926,NULL,NULL,NULL
3276300,2013,7542,NULL,NULL,NULL,NULL
4144400,2013,10961,NULL,10840,NULL,NULL
2235900,2013,8003,NULL,NULL,NULL,NULL
1050700,2013,10839,NULL,NULL,NULL,NULL
4037500,2013,11579,NULL,NULL,NULL,NULL
2552400,2013,14365,NULL,NULL,NULL,NULL
NULL,2013,NULL,NULL,NULL,NULL,NULL
NULL,2013,NULL,NULL,NULL,NULL,NULL
4130700,2013,NULL,NULL,NULL,NULL,NULL
4093300,2013,20034,17064,22465,NULL,NULL
3113400,2013,11616,NULL,NULL,NULL,NULL
NULL,2013,NULL,NULL,NULL,NULL,NULL
1074100,2013,15567,15680,19282,16559,NULL
NULL,2013,5067,NULL,NULL,NULL,NULL
3353300,2013,NULL,NULL,NULL,NULL,NULL
4165500,2013,16180,NULL,NULL,18180,NULL
NULL,2013,NULL,NULL,NULL,NULL,NULL
4157500,2013,22333,NULL,NULL,NULL,NULL
4043300,2013,NULL,NULL,NULL,NULL,NULL
NULL,2013,14903,NULL,NULL,NULL,NULL
3327400,2013,NULL,NULL,NULL,NULL,NULL
134500,2013,12636,12577,15342,17132,17759
266600,2013,20512,22884,32463,41181,41559
3103700,2013,9933,NULL,8130,13180,13180
286000,2013,2810,4708,7997,9730,10166
3051900,2013,NULL,NULL,NULL,NULL,NULL
2068100,2013,NULL,NULL,NULL,NULL,NULL
223400,2013,15774,15102,18464,22728,27759
2520400,2013,12371,12408,12579,NULL,NULL
812900,2013,11421,12000,14497,NULL,NULL
2312000,2013,13586,16672,17564,NULL,NULL
3736300,2013,NULL,NULL,NULL,NULL,NULL
4206800,2013,15849,14421,19171,NULL,NULL
3757300,2013,18054,NULL,NULL,NULL,NULL
3412300,2013,8225,NULL,NULL,NULL,NULL
4155800,2013,NULL,NULL,NULL,NULL,NULL
4208900,2013,11816,12372,13392,NULL,NULL
3786300,2013,19571,NULL,NULL,NULL,NULL
4179200,2013,5058,7088,NULL,10608,NULL
NULL,2013,18032,NULL,NULL,NULL,NULL
1148401,2013,9843,9495,14135,15042,14120
2293600,2013,NULL,NULL,NULL,NULL,NULL
3127500,2013,18350,19302,22998,23908,23908
3532400,2013,11861,14861,16896,NULL,NULL
4171000,2013,NULL,NULL,NULL,NULL,NULL
4146900,2013,17971,20231,20305,22958,NULL
3115500,2013,18425,18301,19293,20027,20928
2553000,2013,28877,29033,36014,35643,36952
4157100,2013,85094,88213,89422,89422,89422
4204300,2013,7179,7264,8523,NULL,9825
3097200,2013,16326,17057,NULL,NULL,NULL
154200,2013,16756,15989,19325,20060,25644
887800,2013,24350,25229,26971,28679,29027
396300,2013,10531,11314,10144,14315,16936
4158100,2013,13889,12207,NULL,17582,17582
1005600,2013,5315,4900,6357,7404,5322
3066700,2013,14802,18867,19867,19867,NULL
758200,2013,7958,8037,11387,12818,13308
962105,2013,20059,20094,21736,NULL,20911
819400,2013,10586,11381,14969,NULL,NULL
100200,2013,12683,13292,16104,16944,15416
NULL,2013,NULL,NULL,NULL,NULL,NULL
103400,2013,4737,5731,7265,NULL,NULL
3032500,2013,1583,NULL,NULL,NULL,NULL
100500,2013,12342,10811,11362,13079,2948
546300,2013,10155,10838,11175,1617,NULL
NULL,2013,NULL,NULL,NULL,NULL,NULL
360700,2013,NULL,NULL,NULL,NULL,NULL
884300,2013,9592,NULL,NULL,NULL,NULL
2541000,2013,14009,15521,NULL,NULL,NULL
4138600,2013,8393,NULL,NULL,NULL,NULL
106100,2013,29014,28525,29899,33475,33275
2170200,2013,16110,15036,16860,5316,NULL
288500,2013,25442,25687,28438,31748,31996
288600,2013,NULL,NULL,NULL,NULL,NULL
288700,2013,NULL,NULL,NULL,NULL,NULL
154400,2013,12026,13264,16091,16241,16862
560100,2013,186,481,5544,6867,6867
982200,2013,NULL,NULL,NULL,NULL,NULL
137400,2013,21573,20713,22937,24591,23408
223500,2013,18614,19524,21601,24720,27555
322900,2013,19711,21133,22538,24349,31984
239600,2013,13419,14203,16031,-59,1704
380600,2013,13431,13071,16677,19824,21028
4193100,2013,22121,NULL,NULL,NULL,NULL
NULL,2013,NULL,NULL,NULL,NULL,NULL
3538300,2013,12166,12154,15589,16298,NULL
554400,2013,11731,12750,14795,17166,17604
266800,2013,11715,15154,19188,22339,26897
2282300,2013,9022,9349,11149,NULL,NULL
195100,2013,8809,10134,8318,NULL,NULL
NULL,2013,NULL,NULL,NULL,NULL,NULL
4174200,2013,9570,NULL,NULL,NULL,NULL
NULL,2013,NULL,NULL,NULL,NULL,NULL
2495502,2013,50410,51264,54748,55632,NULL
2495500,2013,12113,12731,14061,15706,15466
3072400,2013,9917,10277,12049,12870,NULL
3493300,2013,13366,16281,19027,19146,NULL
111100,2013,4884,10735,NULL,NULL,NULL
205700,2013,8180,9279,11825,13270,13871
323000,2013,17619,19393,22012,25355,31425
3457300,2013,4946,3944,6274,7868,NULL
3069100,2013,NULL,NULL,NULL,24065,NULL
190100,2013,4287,5507,7010,8545,8757
3358301,2013,23840,25295,27954,NULL,NULL
3358300,2013,24332,26449,NULL,NULL,NULL
3358303,2013,14660,15926,17115,NULL,NULL
341700,2013,13283,14645,18025,17380,10209
NULL,2013,NULL,NULL,NULL,NULL,NULL
1111700,2013,19768,NULL,NULL,NULL,NULL
4189300,2013,16534,16100,15791,18647,NULL
2324400,2013,5167,8232,NULL,NULL,NULL
223600,2013,14985,15319,18650,21292,24722
223700,2013,2322,2333,5106,7314,7702
2290400,2013,6806,5912,9393,11193,NULL
323300,2013,22382,21829,23857,27387,30612
383200,2013,13140,13741,16025,17921,21769
353900,2013,6638,8217,9209,10229,NULL
3414500,2013,16665,17288,17341,NULL,NULL
354000,2013,5234,5524,7568,9777,10093
4195100,2013,17761,17395,NULL,NULL,NULL
4124700,2013,25810,30220,31607,32995,32995
1081300,2013,13430,17167,15446,17042,17167
3833300,2013,NULL,NULL,NULL,NULL,NULL
162800,2013,23890,20852,29224,30702,31273
4151500,2013,12248,12136,15925,NULL,16300
NULL,2013,NULL,NULL,NULL,NULL,NULL
746501,2013,37980,40364,43614,47997,48197
746500,2013,39372,44613,44783,46196,45143
NULL,2013,14575,14575,14575,14575,14575
NULL,2013,NULL,NULL,NULL,NULL,NULL
3491400,2013,11346,NULL,NULL,NULL,NULL
1046000,2013,23753,NULL,NULL,26086,NULL
112000,2013,NULL,NULL,NULL,NULL,NULL
4169900,2013,7758,9183,9783,NULL,NULL
1307400,2013,11883,11486,13711,NULL,NULL
3903400,2013,7521,9723,10210,10608,NULL
3030802,2013,10689,10380,NULL,15380,NULL
3030800,2013,11706,NULL,16356,NULL,NULL
3030800,2013,9167,10205,12288,13413,13413
4118700,2013,19029,19032,20170,21340,NULL
2241801,2013,25490,25901,27905,26692,29692
NULL,2013,20248,NULL,NULL,NULL,NULL
2241800,2013,25525,26843,28182,28301,29148
3359300,2013,19228,NULL,25171,24812,NULL
3971300,2013,24366,25729,26872,NULL,NULL
466610,2013,19996,20150,22840,NULL,NULL
3153300,2013,NULL,NULL,NULL,NULL,NULL
NULL,2013,NULL,NULL,NULL,NULL,NULL
2309100,2013,11290,NULL,NULL,NULL,NULL
765800,2013,10044,11019,NULL,NULL,NULL
3144400,2013,10710,10969,13369,14969,NULL
NULL,2013,8950,NULL,NULL,NULL,NULL
4194400,2013,21188,NULL,NULL,NULL,NULL
3078200,2013,NULL,NULL,NULL,NULL,NULL
2099200,2013,NULL,NULL,NULL,NULL,NULL
2303800,2013,6459,6188,NULL,NULL,NULL
2222000,2013,NULL,NULL,NULL,NULL,NULL
2289000,2013,9435,NULL,NULL,NULL,NULL
4176900,2013,-788,NULL,NULL,NULL,NULL
2199900,2013,13304,11375,NULL,NULL,NULL
2514100,2013,7285,NULL,NULL,NULL,NULL
3534400,2013,20429,NULL,25362,NULL,NULL
4016500,2013,10402,NULL,NULL,NULL,NULL
4148700,2013,14132,18995,NULL,NULL,NULL
