OPEID,DisbursementYear,Average net price (income 0-30 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income 30 001-48 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income 48 001-75 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income 75 001-110 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income over 110 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV)
NULL,2011,NULL,NULL,NULL,NULL,NULL
3538300,2011,16634,17739,19533,20276,20276
554400,2011,12860,13077,16225,17549,17957
266800,2011,14761,16756,20304,25178,29381
2282300,2011,5532,5992,7906,10256,NULL
195100,2011,10449,10871,11422,NULL,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
4174200,2011,6045,NULL,NULL,NULL,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
NULL,2011,21850,17910,18129,22983,NULL
2495500,2011,13456,14337,14983,15927,15990
3072400,2011,NULL,NULL,NULL,NULL,NULL
3493300,2011,13438,14438,12385,18938,18938
111100,2011,4153,NULL,NULL,NULL,NULL
205700,2011,6732,7136,8953,9154,8623
323000,2011,15505,15319,21073,25261,31345
3457300,2011,3793,5662,5347,NULL,NULL
3069100,2011,15015,NULL,20651,22201,NULL
190100,2011,4161,3839,6685,8096,8167
3358301,2011,24380,26995,27588,NULL,NULL
3358300,2011,23380,25319,27113,NULL,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
341700,2011,12106,12995,15501,16531,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
1111700,2011,NULL,NULL,NULL,NULL,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
NULL,2011,4249,6047,5197,NULL,NULL
223600,2011,15750,15624,16633,20055,38322
223700,2011,1077,1933,4837,6419,6850
2290400,2011,7671,7448,8802,9800,NULL
323300,2011,20926,23180,24100,25616,37877
383200,2011,12803,10408,14949,18253,20591
353900,2011,4491,5368,6501,9329,9717
3414500,2011,26116,29786,NULL,NULL,NULL
354000,2011,2942,3106,6445,9111,9417
NULL,2011,NULL,NULL,NULL,NULL,NULL
4124700,2011,15185,18435,17397,16210,NULL
1081300,2011,16244,16937,NULL,17420,NULL
3833300,2011,NULL,NULL,NULL,NULL,NULL
162800,2011,22503,24433,26342,30063,29097
4151500,2011,11727,14801,17501,NULL,17501
NULL,2011,NULL,NULL,NULL,NULL,NULL
2106900,2011,31843,33526,33993,32038,NULL
746500,2011,29359,30607,30886,33666,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
3491400,2011,NULL,NULL,NULL,NULL,NULL
1046000,2011,17074,17963,NULL,NULL,NULL
112000,2011,NULL,NULL,NULL,NULL,NULL
4169900,2011,6533,5664,8529,11639,NULL
1307400,2011,9914,10451,NULL,NULL,NULL
3903400,2011,7559,10686,10922,NULL,NULL
3030802,2011,10061,11526,15201,NULL,NULL
3030800,2011,7807,11080,NULL,NULL,13380
NULL,2011,7333,8584,7036,10969,NULL
4118700,2011,13949,NULL,NULL,NULL,NULL
2241801,2011,24505,25050,26258,28370,28515
NULL,2011,NULL,NULL,NULL,NULL,NULL
2241800,2011,17221,22434,24990,26597,NULL
3359300,2011,23531,24598,NULL,NULL,NULL
3971300,2011,23427,23888,25249,27444,27429
NULL,2011,NULL,NULL,NULL,NULL,NULL
3153300,2011,NULL,NULL,NULL,NULL,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
2309100,2011,8132,8716,NULL,NULL,NULL
765800,2011,8219,NULL,10062,14437,NULL
3144400,2011,8742,9872,10817,13217,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
3078200,2011,NULL,NULL,NULL,NULL,NULL
2099200,2011,NULL,NULL,NULL,NULL,NULL
2303800,2011,6605,6674,7724,NULL,NULL
2222000,2011,NULL,NULL,NULL,NULL,NULL
2289000,2011,8598,NULL,NULL,NULL,NULL
NULL,2011,15514,14794,16648,NULL,NULL
2199900,2011,15706,16477,NULL,NULL,NULL
2514100,2011,5243,NULL,NULL,NULL,NULL
3534400,2011,22410,23503,25415,26215,26215
4016500,2011,9983,10139,12189,14139,NULL
4148700,2011,13026,17659,NULL,NULL,NULL
3962300,2011,9349,10500,NULL,NULL,NULL
4136400,2011,13587,16223,15196,16910,16910
4060300,2011,22405,NULL,NULL,NULL,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
2317800,2011,13873,14479,16006,16363,17388
2106601,2011,11427,12673,15495,17268,17268
3706300,2011,12607,12843,14536,NULL,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
2106600,2011,9006,10625,9834,13628,14553
2113600,2011,19350,19918,21866,22687,NULL
2113610,2011,22676,24081,25667,NULL,NULL
021136A1  ,2011,20179,20569,22648,23975,24186
211400,2011,17588,17877,19242,21768,19189
274100,2011,31263,31926,34426,NULL,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
NULL,2011,16370,15376,17874,17638,NULL
757200,2011,27760,30382,34365,35370,36366
372600,2011,15083,15453,19438,NULL,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
-2,2011,16985,13785,NULL,NULL,NULL
372601,2011,18643,NULL,NULL,NULL,NULL
-2,2011,NULL,16851,NULL,NULL,NULL
1048900,2011,13135,11399,19182,NULL,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
-2,2011,16001,12123,22099,NULL,NULL
3819300,2011,9293,9380,11801,13544,12983
123200,2011,5576,NULL,NULL,NULL,NULL
1001000,2011,42,-406,217,8,NULL
2601000,2011,6778,11895,NULL,11895,NULL
2311200,2011,20555,NULL,NULL,NULL,NULL
NULL,2011,NULL,NULL,NULL,NULL,NULL
NULL,2011,1464,2640,NULL,NULL,NULL
NULL,2011,13098,14675,14400,16025,NULL
