OPEID,DisbursementYear,Average net price (income 0-30 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income 30 001-48 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income 48 001-75 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income 75 001-110 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV),Average net price (income over 110 000)-students awarded Title IV federal financial aid  2012-13 (SFA1213_RV)
4149500,2012,NULL,NULL,NULL,NULL,NULL
247700,2012,NULL,NULL,NULL,NULL,NULL
2517500,2012,13133,13769,14069,NULL,NULL
3064900,2012,9847,9052,12873,NULL,NULL
4168800,2012,5284,NULL,NULL,NULL,NULL
3065100,2012,5159,NULL,NULL,NULL,NULL
NULL,2012,NULL,NULL,NULL,NULL,NULL
4183300,2012,10858,NULL,NULL,NULL,NULL
3783400,2012,20245,20439,21251,23134,23134
353700,2012,21258,21969,23138,26254,28861
154100,2012,6026,6895,9511,11080,11182
3122500,2012,5410,NULL,NULL,NULL,NULL
2050300,2012,21597,25575,28304,NULL,NULL
4104300,2012,8592,12764,12823,16386,NULL
NULL,2012,3557,NULL,NULL,NULL,NULL
4083300,2012,8239,NULL,NULL,NULL,NULL
4133500,2012,NULL,NULL,NULL,NULL,NULL
4155500,2012,NULL,NULL,NULL,NULL,NULL
3346300,2012,NULL,NULL,NULL,NULL,NULL
4189800,2012,16528,16749,NULL,19506,19506
4185700,2012,14619,17645,17645,17645,NULL
753100,2012,28284,29901,32804,33736,34652
4126900,2012,6554,9454,NULL,NULL,NULL
1290500,2012,10691,11703,11803,NULL,NULL
3288300,2012,NULL,NULL,NULL,NULL,NULL
2499000,2012,15650,17650,19650,NULL,NULL
4118600,2012,9561,9965,12592,13559,13559
2621300,2012,9055,10515,12051,NULL,NULL
4156000,2012,19607,20941,22279,24110,24110
NULL,2012,NULL,NULL,NULL,NULL,NULL
4132400,2012,12497,12692,15042,17542,17542
3277300,2012,5952,NULL,NULL,NULL,NULL
2244300,2012,5382,NULL,NULL,NULL,NULL
2244303,2012,6409,NULL,NULL,NULL,NULL
3276301,2012,5319,NULL,NULL,NULL,NULL
1323200,2012,9926,13582,NULL,NULL,NULL
3276300,2012,6432,NULL,NULL,NULL,NULL
4144400,2012,8887,9811,12309,13974,NULL
2235900,2012,6561,NULL,NULL,NULL,NULL
1050700,2012,10902,10984,12409,13759,NULL
4037500,2012,11033,NULL,NULL,NULL,NULL
2552400,2012,15881,NULL,17763,NULL,NULL
NULL,2012,NULL,NULL,NULL,NULL,NULL
NULL,2012,NULL,NULL,NULL,NULL,NULL
4130700,2012,NULL,NULL,NULL,NULL,NULL
4093300,2012,18375,19925,23725,22725,22975
3113400,2012,9395,NULL,12145,NULL,NULL
NULL,2012,NULL,NULL,NULL,NULL,NULL
1074100,2012,14096,12600,15407,17438,NULL
NULL,2012,NULL,NULL,NULL,NULL,NULL
3353300,2012,NULL,NULL,NULL,NULL,NULL
4165500,2012,16276,19739,NULL,NULL,NULL
NULL,2012,NULL,NULL,NULL,NULL,NULL
NULL,2012,20737,NULL,NULL,NULL,NULL
4043300,2012,NULL,NULL,NULL,NULL,NULL
NULL,2012,NULL,NULL,NULL,NULL,NULL
3327400,2012,NULL,NULL,NULL,NULL,NULL
134500,2012,9163,9566,11767,14778,15269
266600,2012,21725,23585,26098,27465,27463
3103700,2012,9318,NULL,NULL,13899,NULL
286000,2012,3271,4855,8336,9467,10109
3051900,2012,NULL,NULL,NULL,NULL,NULL
2068100,2012,NULL,NULL,NULL,NULL,NULL
223400,2012,11870,14177,17500,21553,27087
2520400,2012,12583,12779,13457,NULL,NULL
812900,2012,15709,NULL,NULL,NULL,NULL
2312000,2012,11717,14214,14906,NULL,NULL
3736300,2012,NULL,NULL,NULL,NULL,NULL
NULL,2012,10757,10757,NULL,NULL,NULL
3757300,2012,15737,NULL,NULL,NULL,NULL
3412300,2012,6982,NULL,NULL,NULL,NULL
4155800,2012,NULL,NULL,NULL,NULL,NULL
NULL,2012,NULL,NULL,NULL,NULL,NULL
3786300,2012,18783,17602,NULL,NULL,NULL
4179200,2012,5251,8366,8801,10801,NULL
NULL,2012,NULL,NULL,NULL,NULL,NULL
1148401,2012,12938,14722,15736,16605,17130
2293600,2012,NULL,NULL,NULL,NULL,NULL
3127500,2012,17883,19555,23003,20956,23741
3532400,2012,12375,12376,12962,NULL,NULL
4171000,2012,NULL,NULL,NULL,NULL,NULL
4146900,2012,15507,19460,19885,23710,NULL
3115500,2012,16198,16581,20318,18664,18243
2553000,2012,31108,33685,35497,38059,36392
4157100,2012,85287,NULL,89010,89010,NULL
NULL,2012,NULL,NULL,NULL,NULL,NULL
3097200,2012,13919,16477,NULL,NULL,NULL
154200,2012,16922,15879,18149,21551,26112
887800,2012,23774,24365,27254,27329,28785
396300,2012,10877,8290,12350,13941,17068
4158100,2012,11540,15328,NULL,NULL,NULL
1005600,2012,6149,6439,6799,6137,NULL
3066700,2012,14477,18334,20205,20205,20205
758200,2012,8310,9308,11488,13761,13869
962105,2012,19958,NULL,NULL,NULL,NULL
819400,2012,12816,14006,15990,NULL,NULL
100200,2012,10931,12470,13267,16147,15181
NULL,2012,NULL,NULL,NULL,NULL,NULL
103400,2012,4358,4421,6309,NULL,NULL
3032500,2012,785,NULL,NULL,NULL,NULL
