OPEID,InstitutionName,PublicPrivate
3409500,CHESTER CAREER COLLEGE,PRIVATE
752900,CHESTER COUNTY INTERMEDIATE UNIT,PRIVATE
324500,CHESTNUT HILL COLLEGE,PRIVATE
331700,CHEYNEY UNIVERSITY OF PENNSYLVANIA,PUBLIC
849200,CHI HEALTH SCHOOL OF RADIOLOGIC TECHNOLOGY,NULL
2570305,CHICAGO ORT TECHNICAL INSTITUTE,PRIVATE
169400,CHICAGO STATE UNIVERSITY,PUBLIC
166100,CHICAGO THEOLOGICAL SEMINARY,NULL
2545200,CHIEF DULL KNIFE COLLEGE,PUBLIC
2165900,CHILLICOTHE BEAUTY ACADEMY INC,PRIVATE
147200,CHIPOLA COLLEGE,PUBLIC
530400,CHIPPEWA VALLEY TECHNICAL COLLEGE,PUBLIC
3051100,CHISHOLM TRAIL TECHNOLOGY CENTER,PRIVATE
747300,CHOFFIN CAREER AND TECHNICAL CENTER,PUBLIC
3230300,CHOICE HIGH SCHOOL AND TECHNICAL CENTER,PRIVATE
291600,CHOWAN UNIVERSITY,PRIVATE
2074900,CHRIS BEAUTY COLLEGE,PRIVATE
282200,CHRIST THE KING SEMINARY,NULL
348200,CHRISTIAN BROTHERS UNIVERSITY,PRIVATE
3199300,CHRISTIAN LIFE COLLEGE,PRIVATE
178900,CHRISTIAN THEOLOGICAL SEMINARY,NULL
370600,CHRISTOPHER NEWPORT UNIVERSITY,PUBLIC
116500,CHURCH DIVINITY SCHOOL OF THE PACIFIC,NULL
302900,CINCINNATI CHRISTIAN UNIVERSITY,PRIVATE
1090600,CINCINNATI COLLEGE OF MORTUARY SCIENCE,PRIVATE
1034500,CINCINNATI STATE TECHNICAL AND COMMUNITY COLLEGE,PUBLIC
2125500,CIRCLE IN THE SQUARE THEATER SCHOOL,PRIVATE
355300,CISCO COLLEGE,PUBLIC
342300,CITADEL MILITARY COLLEGE OF SOUTH CAROLINA,PUBLIC
653400,CITIZENS SCHOOL OF NURSING,PRIVATE
116600,CITRUS COLLEGE,PUBLIC
450200,CITY COLLEGE OF SAN FRANCISCO,PUBLIC
3079900,CITY COLLEGE-ALTAMONTE SPRINGS,PRIVATE
2515400,CITY COLLEGE-FORT LAUDERDALE,PRIVATE
2515401,CITY COLLEGE-GAINESVILLE,PRIVATE
2515402,CITY COLLEGE-MIAMI,PRIVATE
164700,CITY COLLEGES OF CHICAGO-DISTRICT OFFICE,NULL
165200,CITY COLLEGES OF CHICAGO-HAROLD WASHINGTON COLLEGE,PUBLIC
164800,CITY COLLEGES OF CHICAGO-HARRY S TRUMAN COLLEGE,PUBLIC
165400,CITY COLLEGES OF CHICAGO-KENNEDY-KING COLLEGE,PUBLIC
165000,CITY COLLEGES OF CHICAGO-MALCOLM X COLLEGE,PUBLIC
976700,CITY COLLEGES OF CHICAGO-OLIVE-HARVEY COLLEGE,PUBLIC
164900,CITY COLLEGES OF CHICAGO-RICHARD J DALEY COLLEGE,PUBLIC
165500,CITY COLLEGES OF CHICAGO-WILBUR WRIGHT COLLEGE,PUBLIC
1302200,CITY UNIVERSITY OF SEATTLE,PRIVATE
487800,CLACKAMAS COMMUNITY COLLEGE,PUBLIC
342400,CLAFLIN UNIVERSITY,PRIVATE
116900,CLAREMONT GRADUATE UNIVERSITY,NULL
117000,CLAREMONT MCKENNA COLLEGE,PRIVATE
128800,CLAREMONT SCHOOL OF THEOLOGY,NULL
2581100,CLAREMORE BEAUTY COLLEGE,PRIVATE
355400,CLARENDON COLLEGE,PUBLIC
2550000,CLARION COUNTY CAREER CENTER PRACTICAL NURSING PROGRAM,PRIVATE
331800,CLARION UNIVERSITY OF PENNSYLVANIA,PUBLIC
155900,CLARK ATLANTA UNIVERSITY,PRIVATE
377300,CLARK COLLEGE,PUBLIC
485200,CLARK STATE COMMUNITY COLLEGE,PUBLIC
213900,CLARK UNIVERSITY,PRIVATE
185200,CLARKE UNIVERSITY,PRIVATE
895900,CLARKSBURG BEAUTY ACADEMY AND SCHOOL OF MASSAGE THERAPY,PRIVATE
986200,CLARKSON COLLEGE,PRIVATE
269900,CLARKSON UNIVERSITY,PRIVATE
3367401,CLARY SAGE COLLEGE,PRIVATE
318900,CLATSOP COMMUNITY COLLEGE,PUBLIC
897600,CLAYTON STATE UNIVERSITY,PUBLIC
2535600,CLEAR CREEK BAPTIST BIBLE COLLEGE,PRIVATE
2169600,CLEARFIELD COUNTY CAREER AND TECHNOLOGY CENTER,PRIVATE
224600,CLEARY UNIVERSITY,PRIVATE
342500,CLEMSON UNIVERSITY,PUBLIC
510200,CLEVELAND CLINIC HEALTH SYSTEM-SCHOOL OF DIAGNOSTIC IMAGING,NULL
808200,CLEVELAND COMMUNITY COLLEGE,PUBLIC
398200,CLEVELAND INSTITUTE OF ART,PRIVATE
2110700,CLEVELAND INSTITUTE OF DENTAL-MEDICAL ASSISTANTS-CLEVELAND,PRIVATE
2110701,CLEVELAND INSTITUTE OF DENTAL-MEDICAL ASSISTANTS-LYNDHURST,PRIVATE
2110702,CLEVELAND INSTITUTE OF DENTAL-MEDICAL ASSISTANTS-MENTOR,PRIVATE
303100,CLEVELAND INSTITUTE OF MUSIC,PRIVATE
399900,CLEVELAND STATE COMMUNITY COLLEGE,PUBLIC
303200,CLEVELAND STATE UNIVERSITY,PUBLIC
2090700,CLEVELAND UNIVERSITY-KANSAS CITY,NULL
492300,CLINTON COLLEGE,PRIVATE
678700,CLINTON COMMUNITY COLLEGE,PUBLIC
843700,CLINTON ESSEX WARREN WASHINGTON BOCES,PRIVATE
2497500,CLINTON TECHNICAL SCHOOL,PUBLIC
190900,CLOUD COUNTY COMMUNITY COLLEGE,PUBLIC
575200,CLOVER PARK TECHNICAL COLLEGE,PUBLIC
2309500,CLOVIS ADULT EDUCATION,PRIVATE
474300,CLOVIS COMMUNITY COLLEGE,PUBLIC
2338000,CLOYD''S BARBER SCHOOL 2 INC,PRIVATE
1109700,CLOYD''S BEAUTY SCHOOL 1 INC,PRIVATE
2352500,CLOYD''S BEAUTY SCHOOL 3 INC,PRIVATE
4115300,COACHELLA VALLEY BEAUTY COLLEGE,PRIVATE
240100,COAHOMA COMMUNITY COLLEGE,PUBLIC
4126500,COAST CAREER INSTITUTE,PRIVATE
354600,COASTAL BEND COLLEGE,PUBLIC
531600,COASTAL CAROLINA COMMUNITY COLLEGE,PUBLIC
345100,COASTAL CAROLINA UNIVERSITY,PUBLIC
4092300,COASTLINE BEAUTY COLLEGE,PRIVATE
2063500,COASTLINE COMMUNITY COLLEGE,PUBLIC
3577300,COBA ACADEMY,PRIVATE
3090600,COBB BEAUTY COLLEGE INC,PRIVATE
107200,COCHISE COUNTY COMMUNITY COLLEGE DISTRICT,PUBLIC
644300,COCHRAN SCHOOL OF NURSING,NULL
3100400,COCONINO COMMUNITY COLLEGE,PUBLIC
185400,COE COLLEGE,PRIVATE
191000,COFFEYVILLE COMMUNITY COLLEGE,PUBLIC
117700,COGSWELL COLLEGE,PRIVATE
342700,COKER COLLEGE,PRIVATE
203900,COLBY COLLEGE,PRIVATE
191100,COLBY COMMUNITY COLLEGE,PUBLIC
257200,COLBY-SAWYER COLLEGE,PRIVATE
3157600,COLEGIO DE CINEMATOGRAF’_A ARTES Y TELEVISION,PRIVATE
3452300,COLEGIO EDUCATIVO TECNOLOGICO INDUSTRIAL INC,PRIVATE
2552300,COLEGIO MAYOR DE TECNOLOGIA INC,PRIVATE
3800300,COLEGIO TECNICO DE ELECTRICIDAD GALLOZA,PRIVATE
3061900,COLEGIO TECNOLOGICO Y COMERCIAL DE PUERTO RICO,PRIVATE
1056700,COLEGIO UNIVERSITARIO DE SAN JUAN,PUBLIC
729600,COLEMAN UNIVERSITY,PRIVATE
270000,COLGATE ROCHESTER CROZER DIVINITY SCHOOL,NULL
270100,COLGATE UNIVERSITY,PRIVATE
2220000,COLLEEN O''HARAS BEAUTY ACADEMY,PRIVATE
677100,COLLEGE FOR CREATIVE STUDIES,PRIVATE
672000,COLLEGE OF ALAMEDA,PUBLIC
3422400,COLLEGE OF BIBLICAL STUDIES-HOUSTON,PRIVATE
3071601,COLLEGE OF BUSINESS AND TECHNOLOGY-FLAGLER,PRIVATE
3071602,COLLEGE OF BUSINESS AND TECHNOLOGY-HIALEAH,PRIVATE
3071600,COLLEGE OF BUSINESS AND TECHNOLOGY-KENDALL,PRIVATE
147100,COLLEGE OF CENTRAL FLORIDA,PUBLIC
342800,COLLEGE OF CHARLESTON,PUBLIC
155800,COLLEGE OF COASTAL GEORGIA,PUBLIC
2106100,COLLEGE OF COSMETOLOGY,PRIVATE
2615800,COLLEGE OF COURT REPORTING INC,PRIVATE
665600,COLLEGE OF DUPAGE,PUBLIC
794100,COLLEGE OF HAIR DESIGN,PRIVATE
2337900,COLLEGE OF HAIR DESIGN CAREERS,PRIVATE
2079700,COLLEGE OF HAIR DESIGN-DOWNTOWN,PRIVATE
3128100,COLLEGE OF HEALTH CARE PROFESSIONS-NORTHWEST,PRIVATE
769400,COLLEGE OF LAKE COUNTY,PUBLIC
117800,COLLEGE OF MARIN,PUBLIC
3125100,COLLEGE OF MENOMINEE NATION,PRIVATE
1034300,COLLEGE OF MICRONESIA-FSM,PUBLIC
270300,COLLEGE OF MOUNT SAINT VINCENT,PRIVATE
214000,COLLEGE OF OUR LADY OF THE ELMS,PRIVATE
234100,COLLEGE OF SAINT BENEDICT,PRIVATE
260000,COLLEGE OF SAINT ELIZABETH,PRIVATE
254000,COLLEGE OF SAINT MARY,PRIVATE
118100,COLLEGE OF SAN MATEO,PUBLIC
161900,COLLEGE OF SOUTHERN IDAHO,PUBLIC
206400,COLLEGE OF SOUTHERN MARYLAND,PUBLIC
1036200,COLLEGE OF SOUTHERN NEVADA,PUBLIC
368500,COLLEGE OF ST JOSEPH,PRIVATE
269800,COLLEGE OF STATEN ISLAND CUNY,PUBLIC
291700,COLLEGE OF THE ALBEMARLE,PUBLIC
1138500,COLLEGE OF THE ATLANTIC,PRIVATE
890300,COLLEGE OF THE CANYONS,PUBLIC
118200,COLLEGE OF THE DESERT,PUBLIC
214100,COLLEGE OF THE HOLY CROSS,PRIVATE
709600,COLLEGE OF THE MAINLAND,PUBLIC
3022400,COLLEGE OF THE MARSHALL ISLANDS,PUBLIC
997600,COLLEGE OF THE OUACHITAS,PUBLIC
250000,COLLEGE OF THE OZARKS,PRIVATE
118500,COLLEGE OF THE REDWOODS,PUBLIC
118600,COLLEGE OF THE SEQUOIAS,PUBLIC
118700,COLLEGE OF THE SISKIYOUS,PUBLIC
370500,COLLEGE OF WILLIAM AND MARY,PUBLIC
2205000,COLLEGE OF WILMINGTON,PRIVATE
2594303,COLLEGEAMERICA-CHEYENNE,PRIVATE
2594302,COLLEGEAMERICA-COLORADO SPRINGS,PRIVATE
2594300,COLLEGEAMERICA-DENVER,PRIVATE
3120300,COLLEGEAMERICA-FLAGSTAFF,PRIVATE
2594301,COLLEGEAMERICA-FORT COLLINS,PRIVATE
2361400,COLLIN COUNTY COMMUNITY COLLEGE DISTRICT,PUBLIC
1172500,COLLINS SCHOOL OF COSMETOLOGY,PRIVATE
940100,COLORADO CHRISTIAN UNIVERSITY,PRIVATE
134700,COLORADO COLLEGE,PRIVATE
3289300,COLORADO HEIGHTS UNIVERSITY,PRIVATE
3068201,COLORADO MEDIA SCHOOL,PRIVATE
135800,COLORADO MESA UNIVERSITY,PUBLIC
450600,COLORADO MOUNTAIN COLLEGE,PUBLIC
135900,COLORADO NORTHWESTERN COMMUNITY COLLEGE,PUBLIC
3584400,COLORADO SCHOOL OF HEALING ARTS,PRIVATE
134800,COLORADO SCHOOL OF MINES,PUBLIC
1157200,COLORADO SCHOOL OF TRADES,PRIVATE
3686300,COLORADO SCHOOL OF TRADITIONAL CHINESE MEDICINE,NULL
135000,COLORADO STATE UNIVERSITY-FORT COLLINS,PUBLIC
136500,COLORADO STATE UNIVERSITY-PUEBLO,PUBLIC
1014800,COLORADO TECHNICAL UNIVERSITY-COLORADO SPRINGS,PRIVATE
1014802,COLORADO TECHNICAL UNIVERSITY-GREENWOOD VILLAGE,PRIVATE
1014805,COLORADO TECHNICAL UNIVERSITY-ONLINE,PRIVATE
1014804,COLORADO TECHNICAL UNIVERSITY-SIOUX FALLS,PRIVATE
2289200,COLUMBIA AREA CAREER CENTER,PRIVATE
377400,COLUMBIA BASIN COLLEGE,PUBLIC
890200,COLUMBIA CENTRAL UNIVERSITY-CAGUAS,PRIVATE
890201,COLUMBIA CENTRAL UNIVERSITY-YAUCO,PRIVATE
245600,COLUMBIA COLLEGE,PRIVATE
770700,COLUMBIA COLLEGE,PUBLIC
343000,COLUMBIA COLLEGE,PRIVATE
166500,COLUMBIA COLLEGE-CHICAGO,PRIVATE
2110200,COLUMBIA COLLEGE-HOLLYWOOD,PRIVATE
321312,COLUMBIA GORGE COMMUNITY COLLEGE,PUBLIC
342900,COLUMBIA INTERNATIONAL UNIVERSITY,PRIVATE
4121500,COLUMBIA SOUTHERN UNIVERSITY,PRIVATE
348300,COLUMBIA STATE COMMUNITY COLLEGE,PUBLIC
156000,COLUMBIA THEOLOGICAL SEMINARY,NULL
270700,COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,PRIVATE
678900,COLUMBIA-GREENE COMMUNITY COLLEGE,PUBLIC
2272700,COLUMBIANA COUNTY CAREER AND TECHNICAL CENTER,PUBLIC
303900,COLUMBUS COLLEGE OF ART AND DESIGN,PRIVATE
686700,COLUMBUS STATE COMMUNITY COLLEGE,PUBLIC
156100,COLUMBUS STATE UNIVERSITY,PUBLIC
562400,COLUMBUS TECHNICAL COLLEGE,PUBLIC
355600,COMMONWEALTH INSTITUTE OF FUNERAL SERVICE,PRIVATE
2536600,COMMONWEALTH TECHNICAL INSTITUTE,PRIVATE
3367400,COMMUNITY CARE COLLEGE,PRIVATE
3874400,COMMUNITY CHRISTIAN COLLEGE,PRIVATE
323100,COMMUNITY COLLEGE OF ALLEGHENY COUNTY,PUBLIC
2276900,COMMUNITY COLLEGE OF AURORA,PUBLIC
680700,COMMUNITY COLLEGE OF BEAVER COUNTY,PUBLIC
954200,COMMUNITY COLLEGE OF DENVER,PUBLIC
324900,COMMUNITY COLLEGE OF PHILADELPHIA,PUBLIC
340800,COMMUNITY COLLEGE OF RHODE ISLAND,PUBLIC
1116700,COMMUNITY COLLEGE OF VERMONT,PUBLIC
3015100,COMMUNITY SERVICES DIVISION-ALLIANCE CITY,PRIVATE
4040300,COMPASS CAREER COLLEGE,PRIVATE
3108600,COMPU-MED VOCATIONAL CAREERS CORP,PRIVATE
3416300,COMPUTER SYSTEMS INSTITUTE,PRIVATE
3759300,COMPUTER TUTOR BUSINESS AND TECHNICAL INSTITUTE,PRIVATE
246700,CONCEPTION SEMINARY COLLEGE,PRIVATE
381000,CONCORD UNIVERSITY,PUBLIC
887100,CONCORDE CAREER COLLEGE-AURORA,PRIVATE
807100,CONCORDE CAREER COLLEGE-GARDEN GROVE,PRIVATE
3542300,CONCORDE CAREER COLLEGE-GRAND PRAIRIE,PRIVATE
2361600,CONCORDE CAREER COLLEGE-KANSAS CITY,PRIVATE
2157100,CONCORDE CAREER COLLEGE-MEMPHIS,PRIVATE
760700,CONCORDE CAREER COLLEGE-NORTH HOLLYWOOD,PRIVATE
888700,CONCORDE CAREER COLLEGE-PORTLAND,PRIVATE
853700,CONCORDE CAREER COLLEGE-SAN BERNARDINO,PRIVATE
793000,CONCORDE CAREER COLLEGE-SAN DIEGO,PRIVATE
2089600,CONCORDE CAREER INSTITUTE-JACKSONVILLE,PRIVATE
2275100,CONCORDE CAREER INSTITUTE-MIRAMAR,PRIVATE
2172700,CONCORDE CAREER INSTITUTE-TAMPA,PRIVATE
1055400,CONCORDIA COLLEGE ALABAMA,PRIVATE
234600,CONCORDIA COLLEGE AT MOORHEAD,PRIVATE
270900,CONCORDIA COLLEGE-NEW YORK,PRIVATE
245700,CONCORDIA SEMINARY,NULL
2087600,CONCORDIA THEOLOGICAL SEMINARY,NULL
224700,CONCORDIA UNIVERSITY-ANN ARBOR,PRIVATE
166600,CONCORDIA UNIVERSITY-CHICAGO,PRIVATE
2070500,CONCORDIA UNIVERSITY-IRVINE,PRIVATE
254100,CONCORDIA UNIVERSITY-NEBRASKA,PRIVATE
319100,CONCORDIA UNIVERSITY-PORTLAND,PRIVATE
234700,CONCORDIA UNIVERSITY-SAINT PAUL,PRIVATE
355700,CONCORDIA UNIVERSITY-TEXAS,PRIVATE
384200,CONCORDIA UNIVERSITY-WISCONSIN,PRIVATE
2058600,CONLEE''S COLLEGE OF COSMETOLOGY,PRIVATE
2316600,CONNECTICUT CENTER FOR MASSAGE THERAPY-NEWINGTON,PRIVATE
2316601,CONNECTICUT CENTER FOR MASSAGE THERAPY-WESTPORT,PRIVATE
137900,CONNECTICUT COLLEGE,PRIVATE
2148700,CONNECTICUT INSTITUTE OF HAIR DESIGN,PRIVATE
315300,CONNORS STATE COLLEGE,PUBLIC
3034400,CONSERVATORY OF RECORDING ARTS AND SCIENCES,PRIVATE
3029900,CONSOLIDATED SCHOOL OF BUSINESS-LANCASTER,PRIVATE
2289600,CONSOLIDATED SCHOOL OF BUSINESS-YORK,PRIVATE
1318900,CONTINENTAL ACADEMIE OF HAIR DESIGN-HUDSON,PRIVATE
2617000,CONTINENTAL SCHOOL OF BEAUTY CULTURE-BATAVIA,PRIVATE
818900,CONTINENTAL SCHOOL OF BEAUTY CULTURE-BUFFALO,PRIVATE
2617001,CONTINENTAL SCHOOL OF BEAUTY CULTURE-OLEAN,PRIVATE
752200,CONTINENTAL SCHOOL OF BEAUTY CULTURE-ROCHESTER,PRIVATE
818902,CONTINENTAL SCHOOL OF BEAUTY CULTURE-WEST SENECA,PRIVATE
119000,CONTRA COSTA COLLEGE,PUBLIC
343100,CONVERSE COLLEGE,PRIVATE
2274300,CONWAY SCHOOL OF LANDSCAPE DESIGN,NULL
2248600,COOPER HEALTH SYSTEM CENTER FOR ALLIED HEALTH EDUCATION,NULL
271000,COOPER UNION FOR THE ADVANCEMENT OF SCIENCE AND ART,PRIVATE
240200,COPIAH-LINCOLN COMMUNITY COLLEGE,PUBLIC
3542400,COPPER MOUNTAIN COMMUNITY COLLEGE,PUBLIC
206800,COPPIN STATE UNIVERSITY,PUBLIC
133900,CORBAN UNIVERSITY,PRIVATE
4131300,CORINTH ACADEMY OF COSMETOLOGY,PRIVATE
185600,CORNELL COLLEGE,PRIVATE
271100,CORNELL UNIVERSITY,PRIVATE
226600,CORNERSTONE UNIVERSITY,PRIVATE
286300,CORNING COMMUNITY COLLEGE,PUBLIC
1231500,CORNISH COLLEGE OF THE ARTS,PRIVATE
2491700,CORTIVA INSTITUTE-BOSTON,NULL
3455700,CORTIVA INSTITUTE-CHICAGO,NULL
2279600,CORTIVA INSTITUTE-FLORIDA,PRIVATE
3766300,CORTIVA INSTITUTE-PENNSYLVANIA SCHOOL OF MUSCLE THERAPY,PRIVATE
2623800,CORTIVA INSTITUTE-SCOTTSDALE,PRIVATE
3099000,CORTIVA INSTITUTE-SEATTLE,PRIVATE
2582700,CORTIVA INSTITUTE-TUCSON,PRIVATE
2150600,COSMETOLOGY & SPA ACADEMY,PRIVATE
1248300,COSMETOLOGY CAREER CENTER LLC,PRIVATE
3275300,COSMETOLOGY CAREER INSTITUTE,PRIVATE
2159800,COSMETOLOGY CAREERS UNLIMITED COLLEGE OF HAIR SKIN AND NAILS,PRIVATE
960000,COSMETOLOGY CAREERS UNLIMITED COLLEGE OF HAIR SKIN AND NAILS,PRIVATE
3832400,COSMETOLOGY SCHOOL OF ARTS AND SCIENCE LLC,PRIVATE
2548500,COSMETOLOGY TRAINING CENTER,PRIVATE
2220900,COSSATOT COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS,PUBLIC
753600,COSUMNES RIVER COLLEGE,PUBLIC
245800,COTTEY COLLEGE,PRIVATE
772900,COUNTY COLLEGE OF MORRIS,PUBLIC
348400,COVENANT COLLEGE,PRIVATE
661200,COVENANT SCHOOL OF NURSING AND ALLIED HEALTH,NULL
470700,COVENANT THEOLOGICAL SEMINARY,NULL
190200,COWLEY COUNTY COMMUNITY COLLEGE,PUBLIC
2068200,COX COLLEGE,PRIVATE
754900,COYNE COLLEGE,PRIVATE
927200,CRAFTON HILLS COLLEGE,PUBLIC
224800,CRANBROOK ACADEMY OF ART,NULL
2603100,CRAVE BEAUTY ACADEMY,PRIVATE
679900,CRAVEN COMMUNITY COLLEGE,PUBLIC
1005500,CRAWFORD COUNTY CAREER AND TECHNICAL CENTER PRACTICAL NURSING PROGRAM,PUBLIC
3319300,CREATIVE IMAGES INSTITUTE OF COSMETOLOGY-NORTH DAYTON,PRIVATE
3319301,CREATIVE IMAGES INSTITUTE OF COSMETOLOGY-SOUTH DAYTON,PRIVATE
3912300,CREDENCE INSTITUTE OF BEAUTY,PRIVATE
254200,CREIGHTON UNIVERSITY,PRIVATE
3010400,CRESCENT CITY BARTENDING SCHOOL,PRIVATE
3456700,CROSSROADS BIBLE COLLEGE,PRIVATE
236600,CROSSROADS COLLEGE,PRIVATE
245900,CROWDER COLLEGE,PUBLIC
109500,CROWLEY''S RIDGE COLLEGE,PRIVATE
704400,CROWLEY''S RIDGE TECHNICAL INSTITUTE,PUBLIC
238300,CROWN COLLEGE,PRIVATE
2494800,CRU INSTITUTE,PRIVATE
119200,CUESTA COLLEGE,PUBLIC
3723300,CULINARY INSTITUTE INC,PRIVATE
730400,CULINARY INSTITUTE OF AMERICA,PRIVATE
3876300,CULPEPER COSMETOLOGY TRAINING CENTER,PRIVATE
246000,CULVER-STOCKTON COLLEGE,PRIVATE
260100,CUMBERLAND COUNTY COLLEGE,PUBLIC
348500,CUMBERLAND UNIVERSITY,PRIVATE
727300,CUNY BERNARD M BARUCH COLLEGE,PUBLIC
269100,CUNY BOROUGH OF MANHATTAN COMMUNITY COLLEGE,PUBLIC
269200,CUNY BRONX COMMUNITY COLLEGE,PUBLIC
268700,CUNY BROOKLYN COLLEGE,PUBLIC
268800,CUNY CITY COLLEGE,PUBLIC
476500,CUNY GRADUATE SCHOOL AND UNIVERSITY CENTER,NULL
861100,CUNY HOSTOS COMMUNITY COLLEGE,PUBLIC
268900,CUNY HUNTER COLLEGE,PUBLIC
269300,CUNY JOHN JAY COLLEGE OF CRIMINAL JUSTICE,PUBLIC
269400,CUNY KINGSBOROUGH COMMUNITY COLLEGE,PUBLIC
1005100,CUNY LAGUARDIA COMMUNITY COLLEGE,PUBLIC
702200,CUNY LEHMAN COLLEGE,PUBLIC
1009700,CUNY MEDGAR EVERS COLLEGE,PUBLIC
269600,CUNY NEW YORK CITY COLLEGE OF TECHNOLOGY,PUBLIC
269000,CUNY QUEENS COLLEGE,PUBLIC
269700,CUNY QUEENSBOROUGH COMMUNITY COLLEGE,PUBLIC
3191300,CUNY SCHOOL OF LAW,NULL
2506100,CUNY SYSTEM OFFICE,NULL
475900,CUNY YORK COLLEGE,PUBLIC
214300,CURRY COLLEGE,PRIVATE
325100,CURTIS INSTITUTE OF MUSIC,PRIVATE
304000,CUYAHOGA COMMUNITY COLLEGE DISTRICT,PUBLIC
2336700,CUYAHOGA VALLEY CAREER CENTER,PRIVATE
2111300,CUYAMACA COLLEGE,PUBLIC
1161400,CVPH MEDICAL CENTER SCHOOL OF RADIOLOGIC TECHNOLOGY,PRIVATE
119300,CYPRESS COLLEGE,PUBLIC
1163100,D''JAY''S SCHOOL OF BEAUTY ARTS AND SCIENCES,PRIVATE
3070500,D''MART INSTITUTE,PRIVATE
271200,D''YOUVILLE COLLEGE,PRIVATE
499600,DABNEY S LANCASTER COMMUNITY COLLEGE,PUBLIC
280800,DAEMEN COLLEGE,PRIVATE
299500,DAKOTA COLLEGE AT BOTTINEAU,PUBLIC
1040200,DAKOTA COUNTY TECHNICAL COLLEGE,PUBLIC
346300,DAKOTA STATE UNIVERSITY,PUBLIC
346100,DAKOTA WESLEYAN UNIVERSITY,PRIVATE
356000,DALLAS BAPTIST UNIVERSITY,PRIVATE
3682400,DALLAS BARBER & STYLIST COLLEGE,PRIVATE
694100,DALLAS CHRISTIAN COLLEGE,PRIVATE
1076100,DALLAS INSTITUTE OF FUNERAL SERVICE,PRIVATE
3416500,DALLAS NURSING INSTITUTE,PRIVATE
356200,DALLAS THEOLOGICAL SEMINARY,NULL
395600,DALTON STATE COLLEGE,PUBLIC
473100,DANIEL WEBSTER COLLEGE,PRIVATE
166900,DANVILLE AREA COMMUNITY COLLEGE,PUBLIC
375800,DANVILLE COMMUNITY COLLEGE,PUBLIC
2111600,DANVILLE REGIONAL MEDICAL CENTER SCHOOL OF HEALTH PROFESSIONS,NULL
257300,DARTMOUTH COLLEGE,PRIVATE
154300,DARTON STATE COLLEGE,PUBLIC
224900,DAVENPORT UNIVERSITY,PRIVATE
1082700,DAVID PRESSLEY SCHOOL OF COSMETOLOGY,PRIVATE
3614300,DAVID''S ACADEMY OF BEAUTY,PRIVATE
291800,DAVIDSON COLLEGE,PRIVATE
291900,DAVIDSON COUNTY COMMUNITY COLLEGE,PUBLIC
381100,DAVIS & ELKINS COLLEGE,PRIVATE
2156600,DAVIS APPLIED TECHNOLOGY COLLEGE,PRIVATE
485500,DAVIS COLLEGE,PRIVATE
2169100,DAVIS COLLEGE,PRIVATE
3025800,DAWN CAREER INSTITUTE INC,PRIVATE
252900,DAWSON COMMUNITY COLLEGE,PUBLIC
3848300,DAY SPA CAREER COLLEGE,PRIVATE
493402,DAYMAR COLLEGE-BOWLING GREEN,PRIVATE
2056800,DAYMAR COLLEGE-CHILLICOTHE,PRIVATE
2056804,DAYMAR COLLEGE-JACKSON,PRIVATE
2056802,DAYMAR COLLEGE-LANCASTER,PRIVATE
2056803,DAYMAR COLLEGE-NEW BOSTON,PRIVATE
931300,DAYMAR COLLEGE-OWENSBORO,PRIVATE
493401,DAYMAR INSTITUTE-CLARKSVILLE,PRIVATE
493404,DAYMAR INSTITUTE-MURFREESBORO,PRIVATE
493400,DAYMAR INSTITUTE-NASHVILLE,PRIVATE
3116200,DAYTON BARBER COLLEGE,PRIVATE
4117300,DAYTON SCHOOL OF MEDICAL MASSAGE,PRIVATE
3939600,DAYTONA COLLEGE,PRIVATE
147500,DAYTONA STATE COLLEGE,PUBLIC
3072600,DCI CAREER INSTITUTE,PRIVATE
448000,DE ANZA COLLEGE,PUBLIC
1063200,DE WOLFF COLLEGE HAIR STYLING AND COSMETOLOGY,PRIVATE
214400,DEAN COLLEGE,PRIVATE
918600,DEAN INSTITUTE OF TECHNOLOGY,PRIVATE
304100,DEFIANCE COLLEGE,PRIVATE
356300,DEL MAR COLLEGE,PUBLIC
3084800,DELAWARE AREA CAREER CENTER,PRIVATE
3081600,DELAWARE CHENANGO MADISON OTSEGO BOCES-PRACTICAL NURSING PROGRAM,PRIVATE
4139800,DELAWARE COLLEGE OF ART AND DESIGN,PRIVATE
711000,DELAWARE COUNTY COMMUNITY COLLEGE,PUBLIC
3128400,DELAWARE COUNTY TECHNICAL SCHOOL-PRACTICAL NURSING PROGRAM,PRIVATE
3702300,DELAWARE LEARNING INSTITUTE OF COSMETOLOGY,PRIVATE
142800,DELAWARE STATE UNIVERSITY,PUBLIC
705300,DELAWARE TECHNICAL COMMUNITY COLLEGE-OWENS,PUBLIC
2144900,DELAWARE TECHNICAL COMMUNITY COLLEGE-STANTON/WILMINGTON,PUBLIC
1172700,DELAWARE TECHNICAL COMMUNITY COLLEGE-TERRY,PUBLIC
325200,DELAWARE VALLEY UNIVERSITY,PRIVATE
462500,DELGADO COMMUNITY COLLEGE,PUBLIC
3025600,DELL''ARTE INTERNATIONAL SCHOOL OF PHYSICAL THEATRE,NULL
744700,DELMARVA BEAUTY ACADEMY,PRIVATE
