OPEID,InstitutionName,PublicPrivate
3358300,ALLEN SCHOOL-JAMAICA,PRIVATE
341700,ALLEN UNIVERSITY,PRIVATE
1111700,ALLIANT INTERNATIONAL UNIVERSITY-SAN DIEGO,NULL
223600,ALMA COLLEGE,PRIVATE
223700,ALPENA COMMUNITY COLLEGE,PUBLIC
2290400,ALTOONA BEAUTY SCHOOL INC,PRIVATE
323300,ALVERNIA UNIVERSITY,PRIVATE
383200,ALVERNO COLLEGE,PRIVATE
353900,ALVIN COMMUNITY COLLEGE,PUBLIC
3414500,AM COLLEGE LLC,PRIVATE
354000,AMARILLO COLLEGE,PUBLIC
1081300,AMERICAN ACADEMY MCALLISTER INSTITUTE OF FUNERAL SERVICE,PRIVATE
3833300,AMERICAN ACADEMY OF ACUPUNCTURE AND ORIENTAL MEDICINE,NULL
162800,AMERICAN ACADEMY OF ART,PRIVATE
2106900,AMERICAN ACADEMY OF DRAMATIC ARTS-LOS ANGELES,PRIVATE
746500,AMERICAN ACADEMY OF DRAMATIC ARTS-NEW YORK,PRIVATE
3491400,AMERICAN ADVANCED TECHNICIANS INSTITUTE,PRIVATE
1046000,AMERICAN BAPTIST COLLEGE,PRIVATE
112000,AMERICAN BAPTIST SEMINARY OF THE WEST,NULL
1307400,AMERICAN BEAUTY COLLEGE,PRIVATE
3903400,AMERICAN BEAUTY SCHOOL,PRIVATE
3030802,AMERICAN BROADCASTING SCHOOL-ARLINGTON,PRIVATE
3030800,AMERICAN BROADCASTING SCHOOL-OKLAHOMA CITY,PRIVATE
2241801,AMERICAN CAREER COLLEGE-ANAHEIM,PRIVATE
2241800,AMERICAN CAREER COLLEGE-LOS ANGELES,PRIVATE
3359300,AMERICAN CAREER COLLEGE-LYNWOOD,PRIVATE
3971300,AMERICAN CAREER COLLEGE-ONTARIO,PRIVATE
3153300,AMERICAN COLLEGE OF ACUPUNCTURE AND ORIENTAL MED,NULL
2309100,AMERICAN COLLEGE OF HAIR DESIGN INC,PRIVATE
765800,AMERICAN COLLEGE OF HAIRSTYLING-DES MOINES,PRIVATE
3144400,AMERICAN COLLEGE OF HEALTHCARE,PRIVATE
3078200,AMERICAN COLLEGE OF TRADITIONAL CHINESE MEDICINE,NULL
2099200,AMERICAN CONSERVATORY THEATER,NULL
2303800,AMERICAN EDUCATIONAL COLLEGE,PRIVATE
2222000,AMERICAN FILM INSTITUTE CONSERVATORY,NULL
2289000,AMERICAN HAIR ACADEMY,PRIVATE
2199900,AMERICAN INDIAN COLLEGE INC,PRIVATE
2514100,AMERICAN INDIAN OIC INC,PRIVATE
3534400,AMERICAN INSTITUTE OF ALTERNATIVE MEDICINE,PRIVATE
4016500,AMERICAN INSTITUTE OF BEAUTY,PRIVATE
3962300,AMERICAN INSTITUTE OF MASSAGE THERAPY,PRIVATE
4060300,AMERICAN INSTITUTE OF MEDICAL TECHNOLOGY,PRIVATE
2317800,AMERICAN INSTITUTE OF TECHNOLOGY,PRIVATE
2106601,AMERICAN INSTITUTE-CLIFTON,PRIVATE
3706300,AMERICAN INSTITUTE-MARGATE,PRIVATE
2106600,AMERICAN INSTITUTE-WEST HARTFORD,PRIVATE
2113600,AMERICAN INTERCONTINENTAL UNIVERSITY-ATLANTA,PRIVATE
2113610,AMERICAN INTERCONTINENTAL UNIVERSITY-HOUSTON,PRIVATE
211400,AMERICAN INTERNATIONAL COLLEGE,PRIVATE
274100,AMERICAN JEWISH UNIVERSITY,PRIVATE
757200,AMERICAN MUSICAL AND DRAMATIC ACADEMY,PRIVATE
372600,AMERICAN NATIONAL UNIVERSITY,PRIVATE
1048900,AMERICAN NATIONAL UNIVERSITY-LEXINGTON,PRIVATE
3819300,AMERICAN PUBLIC UNIVERSITY SYSTEM,PRIVATE
123200,AMERICAN RIVER COLLEGE,PUBLIC
1001000,AMERICAN SAMOA COMMUNITY COLLEGE,PUBLIC
2601000,AMERICAN SCHOOL OF BUSINESS,PRIVATE
2311200,AMERICAN SCHOOL OF TECHNOLOGY,PRIVATE
143400,AMERICAN UNIVERSITY,PRIVATE
3225300,AMERICAN UNIVERSITY OF HEALTH SCIENCES,PRIVATE
1194101,AMERICAN UNIVERSITY OF PUERTO RICO,PRIVATE
1194100,AMERICAN UNIVERSITY OF PUERTO RICO,PRIVATE
2270802,AMERITECH COLLEGE-DRAPER,PRIVATE
