OPEID,DisbursementYear,IncomeBracket,AvgNetPrice
353700,2010,"OVER 110,000",24832
154100,2010,"OVER 110,000",10061
2050300,2010,"OVER 110,000",31125
753100,2010,"OVER 110,000",32976
4093300,2010,"OVER 110,000",29160
134500,2010,"OVER 110,000",14418
266600,2010,"OVER 110,000",25490
286000,2010,"OVER 110,000",9244
223400,2010,"OVER 110,000",29339
1148400,2010,"OVER 110,000",26088
4146900,2010,"OVER 110,000",21042
3115500,2010,"OVER 110,000",19481
154200,2010,"OVER 110,000",25161
887800,2010,"OVER 110,000",30347
396300,2010,"OVER 110,000",13783
758200,2010,"OVER 110,000",13769
2069500,2010,"OVER 110,000",24078
100200,2010,"OVER 110,000",12670
100500,2010,"OVER 110,000",8682
106100,2010,"OVER 110,000",24322
2170200,2010,"OVER 110,000",22380
288500,2010,"OVER 110,000",31505
154400,2010,"OVER 110,000",12378
137400,2010,"OVER 110,000",24818
223500,2010,"OVER 110,000",24488
322900,2010,"OVER 110,000",28925
239600,2010,"OVER 110,000",12675
380600,2010,"OVER 110,000",16458
554400,2010,"OVER 110,000",17717
266800,2010,"OVER 110,000",28467
205700,2010,"OVER 110,000",8596
323000,2010,"OVER 110,000",30093
190100,2010,"OVER 110,000",7834
341700,2010,"OVER 110,000",8641
223600,2010,"OVER 110,000",21310
223700,2010,"OVER 110,000",5145
2290400,2010,"OVER 110,000",10020
323300,2010,"OVER 110,000",30164
383200,2010,"OVER 110,000",19819
162800,2010,"OVER 110,000",29236
3030802,2010,"OVER 110,000",23260
2241801,2010,"OVER 110,000",47838
2241800,2010,"OVER 110,000",22626
3359300,2010,"OVER 110,000",41104
3971300,2010,"OVER 110,000",22923
4136400,2010,"OVER 110,000",40128
2317800,2010,"OVER 110,000",8748
2106601,2010,"OVER 110,000",24343
2106600,2010,"OVER 110,000",24684
2113600,2010,"OVER 110,000",21771
2113610,2010,"OVER 110,000",22668
211400,2010,"OVER 110,000",21903
274100,2010,"OVER 110,000",38569
757200,2010,"OVER 110,000",34939
3819300,2010,"OVER 110,000",12888
2601000,2010,"OVER 110,000",14000
143400,2010,"OVER 110,000",36121
2270802,2010,"OVER 110,000",30601
2270800,2010,"OVER 110,000",26819
211500,2010,"OVER 110,000",35589
178400,2010,"OVER 110,000",18755
178500,2010,"OVER 110,000",23078
341800,2010,"OVER 110,000",18839
154500,2010,"OVER 110,000",17403
223800,2010,"OVER 110,000",22781
354100,2010,"OVER 110,000",15491
211700,2010,"OVER 110,000",27137
205800,2010,"OVER 110,000",16004
735000,2010,"OVER 110,000",17451
233200,2010,"OVER 110,000",14624
301005,2010,"OVER 110,000",34814
1289100,2010,"OVER 110,000",21959
1289102,2010,"OVER 110,000",22355
743000,2010,"OVER 110,000",38688
3067000,2010,"OVER 110,000",21096
751800,2010,"OVER 110,000",20980
290600,2010,"OVER 110,000",14276
347700,2010,"OVER 110,000",20672
134600,2010,"OVER 110,000",12958
323500,2010,"OVER 110,000",19098
2179902,2010,"OVER 110,000",29327
2179932,2010,"OVER 110,000",31322
2179907,2010,"OVER 110,000",29447
2179929,2010,"OVER 110,000",34322
3125400,2010,"OVER 110,000",36102
1647100,2010,"OVER 110,000",31048
723600,2010,"OVER 110,000",33018
723603,2010,"OVER 110,000",30330
2327600,2010,"OVER 110,000",27823
723602,2010,"OVER 110,000",31124
3125401,2010,"OVER 110,000",31595
2179901,2010,"OVER 110,000",23619
886400,2010,"OVER 110,000",22308
711300,2010,"OVER 110,000",18970
4120900,2010,"OVER 110,000",37734
108100,2010,"OVER 110,000",14710
3997300,2010,"OVER 110,000",14760
1286000,2010,"OVER 110,000",11916
109100,2010,"OVER 110,000",9555
109000,2010,"OVER 110,000",15012
