OPEID,DisbursementYear,IncomeBracket,AvgNetPrice
3783400,2009,"48,001 TO 75,000",21708
353700,2009,"48,001 TO 75,000",19465
154100,2009,"48,001 TO 75,000",9471
4104300,2009,"48,001 TO 75,000",17580
3346300,2009,"48,001 TO 75,000",19860
753100,2009,"48,001 TO 75,000",32211
2499000,2009,"48,001 TO 75,000",12132
4118600,2009,"48,001 TO 75,000",21576
2621300,2009,"48,001 TO 75,000",15465
1323200,2009,"48,001 TO 75,000",22164
4037500,2009,"48,001 TO 75,000",21588
4093300,2009,"48,001 TO 75,000",8892
3113400,2009,"48,001 TO 75,000",16404
1074100,2009,"48,001 TO 75,000",24444
134500,2009,"48,001 TO 75,000",10006
266600,2009,"48,001 TO 75,000",23984
286000,2009,"48,001 TO 75,000",8137
223400,2009,"48,001 TO 75,000",17599
2520400,2009,"48,001 TO 75,000",24720
2312000,2009,"48,001 TO 75,000",12460
3532400,2009,"48,001 TO 75,000",10233
3115500,2009,"48,001 TO 75,000",14586
2553000,2009,"48,001 TO 75,000",31941
154200,2009,"48,001 TO 75,000",15624
887800,2009,"48,001 TO 75,000",39729
396300,2009,"48,001 TO 75,000",8842
3066700,2009,"48,001 TO 75,000",17100
758200,2009,"48,001 TO 75,000",11810
2069500,2009,"48,001 TO 75,000",22916
819400,2009,"48,001 TO 75,000",11230
100200,2009,"48,001 TO 75,000",9754
103400,2009,"48,001 TO 75,000",5386
100500,2009,"48,001 TO 75,000",12197
546300,2009,"48,001 TO 75,000",6130
2541000,2009,"48,001 TO 75,000",13221
106100,2009,"48,001 TO 75,000",23612
2170200,2009,"48,001 TO 75,000",19260
288500,2009,"48,001 TO 75,000",25623
154400,2009,"48,001 TO 75,000",11218
560100,2009,"48,001 TO 75,000",13739
137400,2009,"48,001 TO 75,000",28589
223500,2009,"48,001 TO 75,000",15809
322900,2009,"48,001 TO 75,000",23091
239600,2009,"48,001 TO 75,000",12203
380600,2009,"48,001 TO 75,000",14340
554400,2009,"48,001 TO 75,000",15820
266800,2009,"48,001 TO 75,000",21934
195100,2009,"48,001 TO 75,000",5280
3493300,2009,"48,001 TO 75,000",17352
205700,2009,"48,001 TO 75,000",9143
323000,2009,"48,001 TO 75,000",34748
3457300,2009,"48,001 TO 75,000",3973
190100,2009,"48,001 TO 75,000",6412
3358301,2009,"48,001 TO 75,000",25596
3358300,2009,"48,001 TO 75,000",26676
341700,2009,"48,001 TO 75,000",12225
223600,2009,"48,001 TO 75,000",15703
223700,2009,"48,001 TO 75,000",3656
2290400,2009,"48,001 TO 75,000",9672
323300,2009,"48,001 TO 75,000",21635
383200,2009,"48,001 TO 75,000",15448
353900,2009,"48,001 TO 75,000",10753
3414500,2009,"48,001 TO 75,000",20587
354000,2009,"48,001 TO 75,000",4000
1081300,2009,"48,001 TO 75,000",17571
162800,2009,"48,001 TO 75,000",26420
2106900,2009,"48,001 TO 75,000",21987
746500,2009,"48,001 TO 75,000",24142
3491400,2009,"48,001 TO 75,000",17420
3903400,2009,"48,001 TO 75,000",10170
3030802,2009,"48,001 TO 75,000",22500
3030800,2009,"48,001 TO 75,000",21870
2241801,2009,"48,001 TO 75,000",20936
2241800,2009,"48,001 TO 75,000",20296
3971300,2009,"48,001 TO 75,000",20912
2303800,2009,"48,001 TO 75,000",7038
3534400,2009,"48,001 TO 75,000",22887
4016500,2009,"48,001 TO 75,000",20664
4060300,2009,"48,001 TO 75,000",25290
2317800,2009,"48,001 TO 75,000",9504
2106601,2009,"48,001 TO 75,000",21528
3706300,2009,"48,001 TO 75,000",29124
2106600,2009,"48,001 TO 75,000",22698
2113600,2009,"48,001 TO 75,000",28115
2113610,2009,"48,001 TO 75,000",23121
211400,2009,"48,001 TO 75,000",11115
274100,2009,"48,001 TO 75,000",22429
757200,2009,"48,001 TO 75,000",33975
372600,2009,"48,001 TO 75,000",19033
1048900,2009,"48,001 TO 75,000",17997
3819300,2009,"48,001 TO 75,000",12666
143400,2009,"48,001 TO 75,000",38886
3225300,2009,"48,001 TO 75,000",36828
1194101,2009,"48,001 TO 75,000",12232
1194100,2009,"48,001 TO 75,000",11115
2270802,2009,"48,001 TO 75,000",28287
2270800,2009,"48,001 TO 75,000",23064
211500,2009,"48,001 TO 75,000",12385
178400,2009,"48,001 TO 75,000",13310
178500,2009,"48,001 TO 75,000",17666
341800,2009,"48,001 TO 75,000",10293
154500,2009,"48,001 TO 75,000",16084
223800,2009,"48,001 TO 75,000",15283
666100,2009,"48,001 TO 75,000",7374
354100,2009,"48,001 TO 75,000",13266
211700,2009,"48,001 TO 75,000",26656
205800,2009,"48,001 TO 75,000",11903
735000,2009,"48,001 TO 75,000",15409
233200,2009,"48,001 TO 75,000",13740
301005,2009,"48,001 TO 75,000",33267
1289100,2009,"48,001 TO 75,000",22059
1289102,2009,"48,001 TO 75,000",20811
743000,2009,"48,001 TO 75,000",35677
3067000,2009,"48,001 TO 75,000",20565
751800,2009,"48,001 TO 75,000",19550
754400,2009,"48,001 TO 75,000",15695
290600,2009,"48,001 TO 75,000",9327
223900,2009,"48,001 TO 75,000",11157
347700,2009,"48,001 TO 75,000",19267
134600,2009,"48,001 TO 75,000",11417
323500,2009,"48,001 TO 75,000",21245
2179900,2009,"48,001 TO 75,000",38852
2179909,2009,"48,001 TO 75,000",38852
3125400,2009,"48,001 TO 75,000",35882
1647100,2009,"48,001 TO 75,000",43296
723600,2009,"48,001 TO 75,000",35383
723603,2009,"48,001 TO 75,000",33596
2327600,2009,"48,001 TO 75,000",30894
723602,2009,"48,001 TO 75,000",33351
3125401,2009,"48,001 TO 75,000",36247
2179901,2009,"48,001 TO 75,000",28897
1180200,2009,"48,001 TO 75,000",24115
1084700,2009,"48,001 TO 75,000",26326
711300,2009,"48,001 TO 75,000",20492
3115000,2009,"48,001 TO 75,000",22110
4120900,2009,"48,001 TO 75,000",37808
108100,2009,"48,001 TO 75,000",11206
107100,2009,"48,001 TO 75,000",7672
108700,2009,"48,001 TO 75,000",17871
3997300,2009,"48,001 TO 75,000",13560
1286000,2009,"48,001 TO 75,000",9736
2348200,2009,"48,001 TO 75,000",6508
109100,2009,"48,001 TO 75,000",8489
109000,2009,"48,001 TO 75,000",10456
109003,2009,"48,001 TO 75,000",14787
109002,2009,"48,001 TO 75,000",6628
108900,2009,"48,001 TO 75,000",10816
2081400,2009,"48,001 TO 75,000",14347
2521200,2009,"48,001 TO 75,000",21588
154600,2009,"48,001 TO 75,000",15826
2257400,2009,"48,001 TO 75,000",23424
643500,2009,"48,001 TO 75,000",24732
301100,2009,"48,001 TO 75,000",19206
111600,2009,"48,001 TO 75,000",42413
2363500,2009,"48,001 TO 75,000",15912
2538502,2009,"48,001 TO 75,000",16008
3816300,2009,"48,001 TO 75,000",20184
3095500,2009,"48,001 TO 75,000",23719
195200,2009,"48,001 TO 75,000",20114
4057300,2009,"48,001 TO 75,000",18522
403300,2009,"48,001 TO 75,000",10278
188100,2009,"48,001 TO 75,000",20119
199000,2009,"48,001 TO 75,000",8689
3117000,2009,"48,001 TO 75,000",14310
301200,2009,"48,001 TO 75,000",22080
2506000,2009,"48,001 TO 75,000",6119
902200,2009,"48,001 TO 75,000",12216
2553500,2009,"48,001 TO 75,000",16261
211800,2009,"48,001 TO 75,000",22896
3906300,2009,"48,001 TO 75,000",20532
3544300,2009,"48,001 TO 75,000",11513
560000,2009,"48,001 TO 75,000",14988
3104500,2009,"48,001 TO 75,000",36084
1216500,2009,"48,001 TO 75,000",12507
2580200,2009,"48,001 TO 75,000",22680
