OPEID,DisbursementYear,IncomeBracket,AvgNetPrice
3783400,2013,"75,001 TO 110,000",23847
353700,2013,"75,001 TO 110,000",25333
154100,2013,"75,001 TO 110,000",12342
3122500,2013,"75,001 TO 110,000",7059
2050300,2013,"75,001 TO 110,000",26704
4104300,2013,"75,001 TO 110,000",14101
4207200,2013,"75,001 TO 110,000",14135
753100,2013,"75,001 TO 110,000",33121
4156000,2013,"75,001 TO 110,000",21952
1074100,2013,"75,001 TO 110,000",16559
4165500,2013,"75,001 TO 110,000",18180
134500,2013,"75,001 TO 110,000",17132
266600,2013,"75,001 TO 110,000",41181
3103700,2013,"75,001 TO 110,000",13180
286000,2013,"75,001 TO 110,000",9730
223400,2013,"75,001 TO 110,000",22728
4179200,2013,"75,001 TO 110,000",10608
1148401,2013,"75,001 TO 110,000",15042
3127500,2013,"75,001 TO 110,000",23908
4146900,2013,"75,001 TO 110,000",22958
3115500,2013,"75,001 TO 110,000",20027
2553000,2013,"75,001 TO 110,000",35643
4157100,2013,"75,001 TO 110,000",89422
154200,2013,"75,001 TO 110,000",20060
887800,2013,"75,001 TO 110,000",28679
396300,2013,"75,001 TO 110,000",14315
4158100,2013,"75,001 TO 110,000",17582
1005600,2013,"75,001 TO 110,000",7404
3066700,2013,"75,001 TO 110,000",19867
758200,2013,"75,001 TO 110,000",12818
100200,2013,"75,001 TO 110,000",16944
100500,2013,"75,001 TO 110,000",13079
546300,2013,"75,001 TO 110,000",1617
106100,2013,"75,001 TO 110,000",33475
2170200,2013,"75,001 TO 110,000",5316
288500,2013,"75,001 TO 110,000",31748
154400,2013,"75,001 TO 110,000",16241
560100,2013,"75,001 TO 110,000",6867
137400,2013,"75,001 TO 110,000",24591
223500,2013,"75,001 TO 110,000",24720
322900,2013,"75,001 TO 110,000",24349
380600,2013,"75,001 TO 110,000",19824
3538300,2013,"75,001 TO 110,000",16298
554400,2013,"75,001 TO 110,000",17166
266800,2013,"75,001 TO 110,000",22339
2495502,2013,"75,001 TO 110,000",55632
2495500,2013,"75,001 TO 110,000",15706
3072400,2013,"75,001 TO 110,000",12870
3493300,2013,"75,001 TO 110,000",19146
205700,2013,"75,001 TO 110,000",13270
323000,2013,"75,001 TO 110,000",25355
3457300,2013,"75,001 TO 110,000",7868
3069100,2013,"75,001 TO 110,000",24065
190100,2013,"75,001 TO 110,000",8545
341700,2013,"75,001 TO 110,000",17380
4189300,2013,"75,001 TO 110,000",18647
