OPEID,DisbursementYear,IncomeBracket,AvgNetPrice
2517500,2013,"48,001 TO 75,000",3359
3064900,2013,"48,001 TO 75,000",11777
4168800,2013,"48,001 TO 75,000",3533
3783400,2013,"48,001 TO 75,000",22147
353700,2013,"48,001 TO 75,000",22504
154100,2013,"48,001 TO 75,000",10959
3122500,2013,"48,001 TO 75,000",7639
4104300,2013,"48,001 TO 75,000",13554
4189800,2013,"48,001 TO 75,000",15486
753100,2013,"48,001 TO 75,000",30610
1290500,2013,"48,001 TO 75,000",8620
2499000,2013,"48,001 TO 75,000",18088
4118600,2013,"48,001 TO 75,000",10272
2621300,2013,"48,001 TO 75,000",11500
4156000,2013,"48,001 TO 75,000",20299
4144400,2013,"48,001 TO 75,000",10840
4093300,2013,"48,001 TO 75,000",22465
1074100,2013,"48,001 TO 75,000",19282
134500,2013,"48,001 TO 75,000",15342
266600,2013,"48,001 TO 75,000",32463
3103700,2013,"48,001 TO 75,000",8130
286000,2013,"48,001 TO 75,000",7997
223400,2013,"48,001 TO 75,000",18464
2520400,2013,"48,001 TO 75,000",12579
812900,2013,"48,001 TO 75,000",14497
2312000,2013,"48,001 TO 75,000",17564
4206800,2013,"48,001 TO 75,000",19171
4208900,2013,"48,001 TO 75,000",13392
1148401,2013,"48,001 TO 75,000",14135
3127500,2013,"48,001 TO 75,000",22998
3532400,2013,"48,001 TO 75,000",16896
4146900,2013,"48,001 TO 75,000",20305
3115500,2013,"48,001 TO 75,000",19293
2553000,2013,"48,001 TO 75,000",36014
4157100,2013,"48,001 TO 75,000",89422
4204300,2013,"48,001 TO 75,000",8523
154200,2013,"48,001 TO 75,000",19325
887800,2013,"48,001 TO 75,000",26971
396300,2013,"48,001 TO 75,000",10144
1005600,2013,"48,001 TO 75,000",6357
3066700,2013,"48,001 TO 75,000",19867
758200,2013,"48,001 TO 75,000",11387
962105,2013,"48,001 TO 75,000",21736
819400,2013,"48,001 TO 75,000",14969
100200,2013,"48,001 TO 75,000",16104
103400,2013,"48,001 TO 75,000",7265
100500,2013,"48,001 TO 75,000",11362
546300,2013,"48,001 TO 75,000",11175
106100,2013,"48,001 TO 75,000",29899
2170200,2013,"48,001 TO 75,000",16860
288500,2013,"48,001 TO 75,000",28438
154400,2013,"48,001 TO 75,000",16091
560100,2013,"48,001 TO 75,000",5544
137400,2013,"48,001 TO 75,000",22937
223500,2013,"48,001 TO 75,000",21601
322900,2013,"48,001 TO 75,000",22538
239600,2013,"48,001 TO 75,000",16031
380600,2013,"48,001 TO 75,000",16677
3538300,2013,"48,001 TO 75,000",15589
554400,2013,"48,001 TO 75,000",14795
266800,2013,"48,001 TO 75,000",19188
2282300,2013,"48,001 TO 75,000",11149
195100,2013,"48,001 TO 75,000",8318
2495502,2013,"48,001 TO 75,000",54748
2495500,2013,"48,001 TO 75,000",14061
3072400,2013,"48,001 TO 75,000",12049
3493300,2013,"48,001 TO 75,000",19027
205700,2013,"48,001 TO 75,000",11825
323000,2013,"48,001 TO 75,000",22012
3457300,2013,"48,001 TO 75,000",6274
190100,2013,"48,001 TO 75,000",7010
3358301,2013,"48,001 TO 75,000",27954
3358303,2013,"48,001 TO 75,000",17115
341700,2013,"48,001 TO 75,000",18025
4189300,2013,"48,001 TO 75,000",15791
223600,2013,"48,001 TO 75,000",18650
223700,2013,"48,001 TO 75,000",5106
2290400,2013,"48,001 TO 75,000",9393
323300,2013,"48,001 TO 75,000",23857
383200,2013,"48,001 TO 75,000",16025
353900,2013,"48,001 TO 75,000",9209
3414500,2013,"48,001 TO 75,000",17341
354000,2013,"48,001 TO 75,000",7568
4124700,2013,"48,001 TO 75,000",31607
1081300,2013,"48,001 TO 75,000",15446
162800,2013,"48,001 TO 75,000",29224
4151500,2013,"48,001 TO 75,000",15925
746501,2013,"48,001 TO 75,000",43614
746500,2013,"48,001 TO 75,000",44783
4169900,2013,"48,001 TO 75,000",9783
1307400,2013,"48,001 TO 75,000",13711
3903400,2013,"48,001 TO 75,000",10210
3030800,2013,"48,001 TO 75,000",16356
3030800,2013,"48,001 TO 75,000",12288
4118700,2013,"48,001 TO 75,000",20170
2241801,2013,"48,001 TO 75,000",27905
2241800,2013,"48,001 TO 75,000",28182
3359300,2013,"48,001 TO 75,000",25171
3971300,2013,"48,001 TO 75,000",26872
466610,2013,"48,001 TO 75,000",22840
3144400,2013,"48,001 TO 75,000",13369
3534400,2013,"48,001 TO 75,000",25362
4136400,2013,"48,001 TO 75,000",18883
2106601,2013,"48,001 TO 75,000",19598
3706300,2013,"48,001 TO 75,000",16151
2106600,2013,"48,001 TO 75,000",15927
2113613,2013,"48,001 TO 75,000",20332
2113610,2013,"48,001 TO 75,000",17749
2113600,2013,"48,001 TO 75,000",18794
211400,2013,"48,001 TO 75,000",18545
274100,2013,"48,001 TO 75,000",40516
757200,2013,"48,001 TO 75,000",36910
372600,2013,"48,001 TO 75,000",22728
372614,2013,"48,001 TO 75,000",23997
372612,2013,"48,001 TO 75,000",25666
1048907,2013,"48,001 TO 75,000",20773
3819300,2013,"48,001 TO 75,000",10465
123200,2013,"48,001 TO 75,000",8317
1001000,2013,"48,001 TO 75,000",3377
2601000,2013,"48,001 TO 75,000",12905
2311200,2013,"48,001 TO 75,000",36264
4174800,2013,"48,001 TO 75,000",12971
143400,2013,"48,001 TO 75,000",28174
1194100,2013,"48,001 TO 75,000",13455
2270802,2013,"48,001 TO 75,000",34974
2270800,2013,"48,001 TO 75,000",12359
211500,2013,"48,001 TO 75,000",10016
178400,2013,"48,001 TO 75,000",19061
178500,2013,"48,001 TO 75,000",21743
341800,2013,"48,001 TO 75,000",19714
154500,2013,"48,001 TO 75,000",18073
223800,2013,"48,001 TO 75,000",19430
4160400,2013,"48,001 TO 75,000",18013
4164400,2013,"48,001 TO 75,000",20062
666100,2013,"48,001 TO 75,000",7646
354100,2013,"48,001 TO 75,000",16256
211700,2013,"48,001 TO 75,000",24518
205800,2013,"48,001 TO 75,000",14866
735000,2013,"48,001 TO 75,000",17489
233200,2013,"48,001 TO 75,000",14310
111300,2013,"48,001 TO 75,000",11430
