OPEID,DisbursementYear,IncomeBracket,AvgNetPrice
3064900,2011,"48,001 TO 75,000",11057
3783400,2011,"48,001 TO 75,000",19365
353700,2011,"48,001 TO 75,000",22771
154100,2011,"48,001 TO 75,000",9745
4104300,2011,"48,001 TO 75,000",16990
3346300,2011,"48,001 TO 75,000",17487
753100,2011,"48,001 TO 75,000",31948
2499000,2011,"48,001 TO 75,000",18782
4118600,2011,"48,001 TO 75,000",5926
2621300,2011,"48,001 TO 75,000",12108
4156000,2011,"48,001 TO 75,000",23769
4132400,2011,"48,001 TO 75,000",7869
1323200,2011,"48,001 TO 75,000",13032
4144400,2011,"48,001 TO 75,000",12902
1050700,2011,"48,001 TO 75,000",12946
2552400,2011,"48,001 TO 75,000",16241
4093300,2011,"48,001 TO 75,000",25728
1074100,2011,"48,001 TO 75,000",12458
134500,2011,"48,001 TO 75,000",11867
266600,2011,"48,001 TO 75,000",27006
3103700,2011,"48,001 TO 75,000",13668
286000,2011,"48,001 TO 75,000",7097
223400,2011,"48,001 TO 75,000",16191
2520400,2011,"48,001 TO 75,000",12409
812900,2011,"48,001 TO 75,000",17921
2312000,2011,"48,001 TO 75,000",10897
4155800,2011,"48,001 TO 75,000",8588
1148400,2011,"48,001 TO 75,000",14928
3127500,2011,"48,001 TO 75,000",22037
3532400,2011,"48,001 TO 75,000",14115
4146900,2011,"48,001 TO 75,000",19562
3115500,2011,"48,001 TO 75,000",17210
2553000,2011,"48,001 TO 75,000",35745
154200,2011,"48,001 TO 75,000",16240
887800,2011,"48,001 TO 75,000",30629
396300,2011,"48,001 TO 75,000",12075
4158100,2011,"48,001 TO 75,000",15936
1005600,2011,"48,001 TO 75,000",7565
3066700,2011,"48,001 TO 75,000",19508
758200,2011,"48,001 TO 75,000",11352
819400,2011,"48,001 TO 75,000",15089
100200,2011,"48,001 TO 75,000",10707
103400,2011,"48,001 TO 75,000",4371
100500,2011,"48,001 TO 75,000",7538
546300,2011,"48,001 TO 75,000",8985
106100,2011,"48,001 TO 75,000",31181
2170200,2011,"48,001 TO 75,000",15377
288500,2011,"48,001 TO 75,000",28704
154400,2011,"48,001 TO 75,000",12099
560100,2011,"48,001 TO 75,000",13279
137400,2011,"48,001 TO 75,000",30989
223500,2011,"48,001 TO 75,000",18010
322900,2011,"48,001 TO 75,000",25192
239600,2011,"48,001 TO 75,000",11817
380600,2011,"48,001 TO 75,000",12921
3538300,2011,"48,001 TO 75,000",19533
