2517500,2012,"0 TO 30,000",13133
3064900,2012,"0 TO 30,000",9847
4168800,2012,"0 TO 30,000",5284
3065100,2012,"0 TO 30,000",5159
4183300,2012,"0 TO 30,000",10858
3783400,2012,"0 TO 30,000",20245
353700,2012,"0 TO 30,000",21258
154100,2012,"0 TO 30,000",6026
3122500,2012,"0 TO 30,000",5410
2050300,2012,"0 TO 30,000",21597
4104300,2012,"0 TO 30,000",8592
4083300,2012,"0 TO 30,000",8239
4189800,2012,"0 TO 30,000",16528
4185700,2012,"0 TO 30,000",14619
753100,2012,"0 TO 30,000",28284
4126900,2012,"0 TO 30,000",6554
1290500,2012,"0 TO 30,000",10691
2499000,2012,"0 TO 30,000",15650
4118600,2012,"0 TO 30,000",9561
2621300,2012,"0 TO 30,000",9055
4156000,2012,"0 TO 30,000",19607
4132400,2012,"0 TO 30,000",12497
3277300,2012,"0 TO 30,000",5952
2244300,2012,"0 TO 30,000",5382
2244303,2012,"0 TO 30,000",6409
3276301,2012,"0 TO 30,000",5319
1323200,2012,"0 TO 30,000",9926
3276300,2012,"0 TO 30,000",6432
4144400,2012,"0 TO 30,000",8887
2235900,2012,"0 TO 30,000",6561
1050700,2012,"0 TO 30,000",10902
4037500,2012,"0 TO 30,000",11033
2552400,2012,"0 TO 30,000",15881
4093300,2012,"0 TO 30,000",18375
3113400,2012,"0 TO 30,000",9395
1074100,2012,"0 TO 30,000",14096
4165500,2012,"0 TO 30,000",16276
134500,2012,"0 TO 30,000",9163
266600,2012,"0 TO 30,000",21725
3103700,2012,"0 TO 30,000",9318
286000,2012,"0 TO 30,000",3271
223400,2012,"0 TO 30,000",11870
2520400,2012,"0 TO 30,000",12583
812900,2012,"0 TO 30,000",15709
2312000,2012,"0 TO 30,000",11717
3757300,2012,"0 TO 30,000",15737
3412300,2012,"0 TO 30,000",6982
3786300,2012,"0 TO 30,000",18783
4179200,2012,"0 TO 30,000",5251
1148401,2012,"0 TO 30,000",12938
3127500,2012,"0 TO 30,000",17883
3532400,2012,"0 TO 30,000",12375
4146900,2012,"0 TO 30,000",15507
3115500,2012,"0 TO 30,000",16198
2553000,2012,"0 TO 30,000",31108
4157100,2012,"0 TO 30,000",85287
3097200,2012,"0 TO 30,000",13919
154200,2012,"0 TO 30,000",16922
887800,2012,"0 TO 30,000",23774
396300,2012,"0 TO 30,000",10877
4158100,2012,"0 TO 30,000",11540
1005600,2012,"0 TO 30,000",6149
3066700,2012,"0 TO 30,000",14477
758200,2012,"0 TO 30,000",8310
962105,2012,"0 TO 30,000",19958
819400,2012,"0 TO 30,000",12816
100200,2012,"0 TO 30,000",10931
103400,2012,"0 TO 30,000",4358
3032500,2012,"0 TO 30,000",785
100500,2012,"0 TO 30,000",10795
546300,2012,"0 TO 30,000",8132
884300,2012,"0 TO 30,000",5697
2541000,2012,"0 TO 30,000",17772
4138600,2012,"0 TO 30,000",3529
106100,2012,"0 TO 30,000",31095
2170200,2012,"0 TO 30,000",16187
288500,2012,"0 TO 30,000",20420
154400,2012,"0 TO 30,000",13070
560100,2012,"0 TO 30,000",1974
982200,2012,"0 TO 30,000",6647
137400,2012,"0 TO 30,000",21777
223500,2012,"0 TO 30,000",14723
322900,2012,"0 TO 30,000",19163
239600,2012,"0 TO 30,000",12687
380600,2012,"0 TO 30,000",14405
3538300,2012,"0 TO 30,000",16397
554400,2012,"0 TO 30,000",12073
266800,2012,"0 TO 30,000",13781
2282300,2012,"0 TO 30,000",8359
195100,2012,"0 TO 30,000",11925
4174200,2012,"0 TO 30,000",7518
2495502,2012,"0 TO 30,000",18841
2495500,2012,"0 TO 30,000",13134
3493300,2012,"0 TO 30,000",12274
111100,2012,"0 TO 30,000",5319
205700,2012,"0 TO 30,000",8775
323000,2012,"0 TO 30,000",14846
3457300,2012,"0 TO 30,000",4154
190100,2012,"0 TO 30,000",4261
3358301,2012,"0 TO 30,000",24067
3358300,2012,"0 TO 30,000",24009
3358303,2012,"0 TO 30,000",19422
341700,2012,"0 TO 30,000",15002
