OPEID,DisbursementYear,IncomeBracket,AvgNetPrice
3064900,2011,"75,001 TO 110,000",13307
353700,2011,"75,001 TO 110,000",25295
154100,2011,"75,001 TO 110,000",11215
4104300,2011,"75,001 TO 110,000",17850
3346300,2011,"75,001 TO 110,000",19762
753100,2011,"75,001 TO 110,000",33086
2499000,2011,"75,001 TO 110,000",19115
4118600,2011,"75,001 TO 110,000",10540
4156000,2011,"75,001 TO 110,000",24619
4144400,2011,"75,001 TO 110,000",13787
1050700,2011,"75,001 TO 110,000",12946
1074100,2011,"75,001 TO 110,000",18942
134500,2011,"75,001 TO 110,000",14561
266600,2011,"75,001 TO 110,000",27245
286000,2011,"75,001 TO 110,000",8029
223400,2011,"75,001 TO 110,000",21241
2520400,2011,"75,001 TO 110,000",12548
2312000,2011,"75,001 TO 110,000",10832
1148400,2011,"75,001 TO 110,000",15395
3127500,2011,"75,001 TO 110,000",23456
4146900,2011,"75,001 TO 110,000",22469
3115500,2011,"75,001 TO 110,000",19754
2553000,2011,"75,001 TO 110,000",38642
154200,2011,"75,001 TO 110,000",20517
887800,2011,"75,001 TO 110,000",31846
396300,2011,"75,001 TO 110,000",12670
4158100,2011,"75,001 TO 110,000",16836
3066700,2011,"75,001 TO 110,000",19508
758200,2011,"75,001 TO 110,000",12795
962105,2011,"75,001 TO 110,000",20176
819400,2011,"75,001 TO 110,000",15089
100200,2011,"75,001 TO 110,000",11632
103400,2011,"75,001 TO 110,000",1224
100500,2011,"75,001 TO 110,000",9890
546300,2011,"75,001 TO 110,000",9349
106100,2011,"75,001 TO 110,000",33380
288500,2011,"75,001 TO 110,000",29118
154400,2011,"75,001 TO 110,000",14192
560100,2011,"75,001 TO 110,000",15551
137400,2011,"75,001 TO 110,000",18243
223500,2011,"75,001 TO 110,000",20523
322900,2011,"75,001 TO 110,000",30049
239600,2011,"75,001 TO 110,000",11726
380600,2011,"75,001 TO 110,000",14471
3538300,2011,"75,001 TO 110,000",20276
554400,2011,"75,001 TO 110,000",17549
266800,2011,"75,001 TO 110,000",25178
2282300,2011,"75,001 TO 110,000",10256
2495500,2011,"75,001 TO 110,000",15927
3493300,2011,"75,001 TO 110,000",18938
205700,2011,"75,001 TO 110,000",9154
323000,2011,"75,001 TO 110,000",25261
3069100,2011,"75,001 TO 110,000",22201
190100,2011,"75,001 TO 110,000",8096
341700,2011,"75,001 TO 110,000",16531
223600,2011,"75,001 TO 110,000",20055
223700,2011,"75,001 TO 110,000",6419
2290400,2011,"75,001 TO 110,000",9800
323300,2011,"75,001 TO 110,000",25616
383200,2011,"75,001 TO 110,000",18253
353900,2011,"75,001 TO 110,000",9329
354000,2011,"75,001 TO 110,000",9111
4124700,2011,"75,001 TO 110,000",16210
