OPEID,DisbursementYear,NumReceivingFedLoan,PercentReceivingFedLoan,TotalFedLoanAid,AvgFedLoanAid
3971300,2013,1594,62,14611540,9167
466610,2013,178,69,1514881,8511
3153300,2013,NULL,NULL,NULL,
NULL,2013,NULL,NULL,NULL,
2309100,2013,14,30,58742,4196
765800,2013,28,56,243402,8693
3144400,2013,349,59,3259916,9341
NULL,2013,29,73,265653,9160
4194400,2013,0,0,0,
3078200,2013,NULL,NULL,NULL,
2099200,2013,NULL,NULL,NULL,
2303800,2013,0,0,0,
2222000,2013,NULL,NULL,NULL,
2289000,2013,34,79,178762,5258
4176900,2013,63,63,300314,4767
2199900,2013,51,70,343278,6731
2514100,2013,0,0,0,
3534400,2013,182,88,1592833,8752
4016500,2013,221,95,2039709,9229
4148700,2013,17,50,97577,5740
3962300,2013,15,54,49762,3317
4136400,2013,165,44,996366,6039
4060300,2013,50,96,559000,11180
NULL,2013,NULL,NULL,NULL,
2317800,2013,1225,75,6437343,5255
2106601,2013,780,81,6625872,8495
3706300,2013,354,77,3032550,8567
NULL,2013,75,95,630259,8403
2106600,2013,428,85,3765603,8798
2113613,2013,1157,91,8064170,6970
2113610,2013,334,78,2355913,7054
2113600,2013,10989,90,71695498,6524
211400,2013,1243,83,10093036,8120
274100,2013,49,35,363250,7413
4192100,2013,47,9,296597,6311
4159700,2013,10,10,78380,7838
757200,2013,1005,77,8008120,7968
372600,2013,1580,75,9576469,6061
372614,2013,24,92,131894,5496
372610,2013,112,84,745303,6654
372612,2013,89,84,604302,6790
372609,2013,138,72,863151,6255
1048907,2013,1018,75,6736544,6617
NULL,2013,NULL,NULL,NULL,
NULL,2013,NULL,NULL,NULL,
372611,2013,183,83,1272852,6955
3819300,2013,12484,27,93903966,7522
123200,2013,2132,7,13448463,6308
1001000,2013,0,0,0,
2601000,2013,67,66,433119,6464
2311200,2013,439,92,2012346,4584
4127700,2013,329,18,3339048,10149
4176000,2013,0,0,0,
4174800,2013,101,62,846059,8377
143400,2013,3360,46,23840924,7096
3225300,2013,204,83,1095356,5369
1194101,2013,108,10,328256,3039
1194100,2013,82,8,246160,3002
2270802,2013,717,66,8030400,11200
2270800,2013,168,76,1272906,7577
