OPEID,DisbursementYear,NumReceivingFedLoan,PercentReceivingFedLoan,TotalFedLoanAid,AvgFedLoanAid
NULL,2010,5,11,20918,4184
247700,2010,NULL,NULL,NULL,NULL
2517500,2010,0,0,0,NULL
3064900,2010,82,95,294854,3596
NULL,2010,0,0,0,NULL
3065100,2010,84,81,419975,5000
NULL,2010,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL
3783400,2010,152,82,923911,6078
353700,2010,2371,61,25695850,10838
154100,2010,1442,43,7483342,5190
3122500,2010,0,0,0,NULL
2050300,2010,165,80,1309818,7938
4104300,2010,50,60,347253,6945
NULL,2010,NULL,NULL,NULL,NULL
NULL,2010,0,0,0,NULL
4133500,2010,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL
3346300,2010,502,70,4560859,9085
NULL,2010,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL
753100,2010,6412,59,48368155,7543
4126900,2010,85,45,410910,4834
1290500,2010,0,0,0,NULL
3288300,2010,NULL,NULL,NULL,NULL
2499000,2010,166,96,725960,4373
4118600,2010,55,63,369822,6724
2621300,2010,19,32,124173,6535
NULL,2010,52,39,407972,7846
NULL,2010,NULL,NULL,NULL,NULL
4132400,2010,18,44,42173,2343
3277300,2010,0,0,0,NULL
2244300,2010,19,35,66196,3484
2244303,2010,11,6,35936,3267
3276301,2010,5,9,4700,940
1323200,2010,202,80,1276037,6317
3276300,2010,13,9,5750,442
4144400,2010,61,59,440589,7223
2235900,2010,28,28,82723,2954
1050700,2010,94,89,557305,5929
4037500,2010,130,61,729979,5615
2552400,2010,147,57,650855,4428
NULL,2010,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL
4130700,2010,35,49,156973,4485
4093300,2010,53,87,429466,8103
3113400,2010,93,46,628310,6756
NULL,2010,NULL,NULL,NULL,NULL
1074100,2010,73,55,409833,5614
NULL,2010,NULL,NULL,NULL,NULL
3353300,2010,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL
4043300,2010,19,41,66645,3508
NULL,2010,NULL,NULL,NULL,NULL
3327400,2010,NULL,NULL,NULL,NULL
134500,2010,1827,76,14276372,7814
266600,2010,3446,70,25815542,7491
3103700,2010,28,82,171842,6137
286000,2010,1138,29,5653208,4968
3051900,2010,NULL,NULL,NULL,NULL
2068100,2010,NULL,NULL,NULL,NULL
223400,2010,1371,85,8859318,6462
2520400,2010,168,66,867791,5165
812900,2010,170,91,750100,4412
2312000,2010,19,21,33447,1760
3736300,2010,0,0,0,NULL
NULL,2010,NULL,NULL,NULL,NULL
3757300,2010,120,78,871500,7263
3412300,2010,0,0,0,NULL
NULL,2010,0,0,0,NULL
NULL,2010,NULL,NULL,NULL,NULL
3786300,2010,344,97,2893969,8413
NULL,2010,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL
1148400,2010,85,59,550614,6478
2293600,2010,0,0,0,NULL
3127500,2010,597,72,5230838,8762
3532400,2010,35,67,214506,6129
NULL,2010,NULL,NULL,NULL,NULL
4146900,2010,24,75,147963,6165
3115500,2010,1313,50,8905543,6783
2553000,2010,120,95,1017613,8480
NULL,2010,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL
3097200,2010,4,8,11961,2990
154200,2010,500,59,3541470,7083
887800,2010,3199,83,30867551,9649
396300,2010,719,74,4890606,6802
NULL,2010,36,84,69381,1927
1005600,2010,0,0,0,NULL
3066700,2010,44,67,300857,6838
758200,2010,1600,29,8267930,5167
2069500,2010,761,89,8051200,10580
819400,2010,46,56,279772,6082
100200,2010,3332,74,25949910,7788
NULL,2010,NULL,NULL,NULL,NULL
103400,2010,0,0,0,NULL
3032500,2010,0,0,0,NULL
100500,2010,3989,86,35507170,8901
546300,2010,0,0,0,NULL
NULL,2010,NULL,NULL,NULL,NULL
360700,2010,NULL,NULL,NULL,NULL
NULL,2010,0,0,0,NULL
2541000,2010,469,85,2743368,5849
4138600,2010,18,47,83411,4634
106100,2010,236,44,2614889,11080
2170200,2010,117,84,653887,5589
288500,2010,746,67,5532187,7416
288600,2010,NULL,NULL,NULL,NULL
288700,2010,NULL,NULL,NULL,NULL
154400,2010,3451,86,27248029,7896
560100,2010,1678,42,8229847,4905
NULL,2010,0,0,0,NULL
137400,2010,1363,85,12711072,9326
223500,2010,997,57,7059824,7081
322900,2010,1707,75,13868958,8125
239600,2010,2282,85,17787354,7795
380600,2010,487,82,3817282,7838
NULL,2010,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL
3538300,2010,62,77,402664,6495
554400,2010,1021,40,6377857,6247
266800,2010,1438,75,10129062,7044
2282300,2010,7,2,15914,2273
195100,2010,226,38,860487,3807
NULL,2010,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL
NULL,2010,17,61,108225,6366
NULL,2010,NULL,NULL,NULL,NULL
2495500,2010,780,58,3689078,4730
3072400,2010,212,54,1176686,5550
3493300,2010,1528,92,9135747,5979
111100,2010,127,1,777387,6121
205700,2010,1452,36,4715032,3247
323000,2010,1413,66,10106266,7152
3457300,2010,7,11,24121,3446
3069100,2010,245,78,1986230,8107
190100,2010,983,31,3339667,3397
3358301,2010,645,93,4450500,6900
3358300,2010,899,87,4423337,4920
NULL,2010,NULL,NULL,NULL,NULL
341700,2010,802,97,5905360,7363
NULL,2010,NULL,NULL,NULL,NULL
1111700,2010,93,59,964759,10374
NULL,2010,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL
223600,2010,972,67,7615252,7835
223700,2010,609,29,2414784,3965
2290400,2010,98,74,191694,1956
323300,2010,1595,77,16532086,10365
383200,2010,2094,88,15763482,7528
353900,2010,573,11,2055141,3587
3414500,2010,15,58,100500,6700
354000,2010,2302,20,11229497,4878
NULL,2010,NULL,NULL,NULL,NULL
NULL,2010,213,47,1199307,5631
1081300,2010,221,70,1063632,4813
3833300,2010,NULL,NULL,NULL,NULL
162800,2010,340,85,2808639,8261
NULL,2010,69,79,555987,8058
NULL,2010,NULL,NULL,NULL,NULL
2106900,2010,40,23,163432,4086
746500,2010,129,70,1186800,9200
NULL,2010,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL
3491400,2010,83,30,363921,4385
1046000,2010,0,0,0,NULL
112000,2010,NULL,NULL,NULL,NULL
NULL,2010,16,19,61115,3820
1307400,2010,0,0,0,NULL
3903400,2010,250,63,681837,2727
3030802,2010,88,67,402435,4573
3030800,2010,40,75,203113,5078
NULL,2010,NULL,NULL,NULL,NULL
NULL,2010,21,8,97222,4630
2241801,2010,3220,85,31219970,9696
NULL,2010,NULL,NULL,NULL,NULL
2241800,2010,3411,88,31689844,9290
3359300,2010,410,98,1630780,3978
3971300,2010,2298,83,20987065,9133
NULL,2010,NULL,NULL,NULL,NULL
3153300,2010,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL
2309100,2010,35,46,119519,3415
765800,2010,41,75,225917,5510
3144400,2010,292,68,2114247,7241
NULL,2010,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL
3078200,2010,NULL,NULL,NULL,NULL
2099200,2010,NULL,NULL,NULL,NULL
2303800,2010,0,0,0,NULL
2222000,2010,NULL,NULL,NULL,NULL
2289000,2010,46,68,255828,5561
NULL,2010,NULL,NULL,NULL,NULL
2199900,2010,45,55,225713,5016
2514100,2010,0,0,0,NULL
3534400,2010,108,75,867813,8035
4016500,2010,170,78,1200000,7059
NULL,2010,0,0,0,NULL
3962300,2010,27,69,140832,5216
4136400,2010,63,32,378660,6010
4060300,2010,63,100,500000,7937
NULL,2010,NULL,NULL,NULL,NULL
2317800,2010,1419,91,7968709,5616
2106601,2010,740,83,6936544,9374
3706300,2010,550,89,5409186,9835
NULL,2010,NULL,NULL,NULL,NULL
2106600,2010,633,84,6474313,10228
2113600,2010,1814,97,16694919,9203
2113610,2010,394,91,3884961,9860
021136A1  ,2010,16286,97,156415463,9604
211400,2010,1498,86,11651401,7778
274100,2010,55,49,527880,9598
NULL,2010,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL
757200,2010,966,87,7373268,7633
372600,2010,5482,82,49800250,9084
NULL,2010,NULL,NULL,NULL,NULL
-2,2010,567,90,5079629,8959
372601,2010,102,87,786838,7714
-2,2010,409,74,4067924,9946
1048900,2010,3210,87,28787321,8968
NULL,2010,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL
-2,2010,712,90,6873404,9654
3819300,2010,6794,12,40202884,5917
123200,2010,2526,7,19012481,7527
1001000,2010,0,0,0,NULL
2601000,2010,81,54,337299,4164
2311200,2010,429,74,2503477,5836
NULL,2010,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL
NULL,2010,NULL,NULL,NULL,NULL
143400,2010,3160,49,21768970,6889
3225300,2010,70,53,625627,8938
1194101,2010,146,11,451871,3095
1194100,2010,139,8,362017,2604
2270802,2010,246,76,2410872,9800
2270800,2010,75,65,512712,6836
NULL,2010,NULL,NULL,NULL,NULL
211500,2010,329,19,1590023,4833
2503400,2010,285,75,2794042,9804
182300,2010,NULL,NULL,NULL,NULL
178400,2010,426,77,2967270,6965
178500,2010,1604,75,14546475,9069
341800,2010,1248,59,10822192,8672
211600,2010,NULL,NULL,NULL,NULL
154500,2010,172,75,1196796,6958
223800,2010,1153,56,10388339,9010
NULL,2010,62,42,677896,10934
NULL,2010,77,56,672938,8739
666100,2010,0,0,0,NULL
354100,2010,3367,57,19611371,5825
211700,2010,868,73,5846999,6736
205800,2010,2563,15,14710629,5740
NULL,2010,NULL,NULL,NULL,NULL
735000,2010,1147,47,7447575,6493
233200,2010,3369,37,18770605,5572
