OPEID,CohortYear,NumDefault,NumBorrowers,DefaultRate,RateType
041176,2013,15,31,48.3,A
041480,2013,89,188,47.3,A
036803,2013,48,103,46.6,A
022429,2013,57,131,43.5,A
002934,2013,61,143,42.6,A
024948,2013,28,66,42.4,A
030199,2013,17,41,41.4,A
005363,2013,260,661,39.3,A
012948,2013,39,99,39.3,A
020533,2013,42,107,39.2,A
041746,2013,22,56,39.2,A
039303,2013,12,31,38.7,A
004927,2013,66,172,38.3,A
036114,2013,115,303,37.9,A
041489,2013,17,45,37.7,A
020568,2013,206,575,35.8,A
030649,2013,38,106,35.8,B
038763,2013,15,42,35.7,B
003762,2013,109,307,35.5,A
038233,2013,16,45,35.5,B
039644,2013,66,186,35.4,A
013008,2013,11,31,35.4,A
021816,2013,81,229,35.3,A
025307,2013,12,34,35.2,A
007447,2013,19,54,35.1,A
041690,2013,23,66,34.8,A
040453,2013,15,43,34.8,A
023394,2013,12,35,34.2,A
001038,2013,36,106,33.9,A
041821,2013,20,59,33.8,A
011672,2013,46,138,33.3,A
023513,2013,11,33,33.3,B
008612,2013,129,388,33.2,A
021760,2013,12,37,32.4,A
004835,2013,284,877,32.3,A
005256,2013,64,198,32.3,P
041634,2013,22,68,32.3,A
041669,2013,11,34,32.3,A
041545,2013,19,59,32.2,A
001998,2013,203,636,31.9,P
010826,2013,22,69,31.8,B
009646,2013,33,104,31.7,A
030104,2013,202,639,31.6,A
003628,2013,44,141,31.2,A
010554,2013,99,319,31,A
030178,2013,18,58,31,A
037593,2013,13,42,30.9,A
009231,2013,38,123,30.8,A
041847,2013,21,68,30.8,A
025535,2013,40,130,30.7,A
041976,2013,18,59,30.5,A
025686,2013,11,36,30.5,B
041931,2013,11,36,30.5,A
008085,2013,43,141,30.4,A
036074,2013,10,33,30.3,B
041186,2013,10,33,30.3,A
009535,2013,10,33,30.3,A
006960,2013,347,1149,30.2,P
021466,2013,256,845,30.2,A
001990,2013,337,1118,30.1,P
041438,2013,19,63,30.1,B
001615,2013,257,854,30,A
041710,2013,57,190,30,A
025488,2013,236,791,29.8,A
041772,2013,23,77,29.8,A
025950,2013,14,47,29.7,A
037833,2013,35,118,29.6,A
011197,2013,16,54,29.6,A
003026,2013,333,1128,29.5,A
021088,2013,42,142,29.5,A
005273,2013,480,1631,29.4,P
002982,2013,113,384,29.4,A
021487,2013,23,78,29.4,B
041848,2013,10,34,29.4,A
039123,2013,22,75,29.3,B
003669,2013,163,557,29.2,A
021975,2013,19,65,29.2,B
041452,2013,21,72,29.1,A
005271,2013,373,1285,29,P
006962,2013,219,756,28.9,P
003417,2013,106,366,28.9,A
009430,2013,15,52,28.8,A
007687,2013,76,265,28.6,A
041174,2013,65,228,28.5,A
022463,2013,48,168,28.5,A
010695,2013,12,42,28.5,B
021719,2013,12,42,28.5,A
023068,2013,920,3247,28.3,P
002943,2013,122,431,28.3,A
001209,2013,30,106,28.3,A
001104,2013,21,74,28.3,A
040144,2013,17,60,28.3,A
021395,2013,17,60,28.3,A
012525,2013,262,928,28.2,A
011074,2013,505,1796,28.1,A
005258,2013,92,328,28,P
002980,2013,86,307,28,A
010264,2013,48,172,27.9,A
011596,2013,12,43,27.9,A
004024,2013,218,783,27.8,P
036273,2013,209,751,27.8,A
003638,2013,117,420,27.8,A
035424,2013,39,140,27.8,A
004742,2013,1427,5147,27.7,A
002466,2013,199,718,27.7,A
001078,2013,783,2832,27.6,A
040385,2013,377,1363,27.6,A
007518,2013,363,1319,27.5,A
001993,2013,132,479,27.5,A
007986,2013,109,396,27.5,A
026002,2013,101,367,27.5,A
008278,2013,339,1236,27.4,A
003779,2013,76,277,27.4,A
006949,2013,1033,3778,27.3,A
001202,2013,61,223,27.3,A
007987,2013,43,157,27.3,A
003186,2013,143,524,27.2,A
001178,2013,116,425,27.2,A
009082,2013,79,290,27.2,A
038303,2013,30,110,27.2,A
021464,2013,27,99,27.2,B
004923,2013,24,88,27.2,A
041326,2013,24,88,27.2,B
